State,Country,Place,type,budget,season,activities
Idaho,South Georgia and the South Sandwich Islands,Thomas Roads Beach,Beach,luxury,Dec-Feb,"shopping, culture, wildlife"
Goa,India,Dudhsagar Falls,Beach,low,Mar-May,"food, technology, temple visit, nightlife"
Maryland,Slovenia,Peterson Manor Temple,Desert,medium,Dec-Feb,"wildlife, food"
Texas,Tunisia,Anna Isle Beach,Cultural,medium,Sep-Nov,"technology, trekking"
West Bengal,India,Sundarbans,Cultural,high,Jan-Mar,"temple visit, yoga, nightlife"
Delhi,India,India Gate,Adventure,luxury,Dec-Feb,"skiing, wildlife, surfing"
Alaska,American Samoa,Hanson Harbor Fort,Urban,medium,Sep-Nov,"culture, trekking, safari, shopping"
North Carolina,Greenland,Brooks Brooks Bay,Beach,high,Mar-May,"wildlife, temple visit"
Minnesota,Argentina,Susan Corner Temple,Historical,medium,Mar-May,"wildlife, temple visit, trekking, safari"
New Jersey,Burkina Faso,Lori Rest Bay,Urban,low,June-Aug,"technology, relaxing"
New York,Algeria,Eugene Light Tower,Adventure,medium,June-Aug,"skiing, temple visit, trekking, wildlife"
Virginia,France,Mccarty Manors Bay,Mountain,low,Jan-Mar,"temple visit, surfing, trekking"
Louisiana,Grenada,Diane Glens Fort,Mountain,low,Mar-May,"food, safari, temple visit, technology"
South Carolina,Brazil,Greene Keys Bay,Beach,medium,Mar-May,"trekking, skiing"
Kerala,India,Alleppey Backwaters,Cultural,high,June-Aug,"nightlife, food, shopping, wildlife"
Tamil Nadu,India,Ooty,Mountain,medium,Jan-Mar,"safari, culture, yoga, food"
Uttar Pradesh,India,Taj Mahal,Adventure,medium,Dec-Feb,"culture, shopping"
Maine,Kiribati,Julia Mills Bay,Mountain,low,Jan-Mar,"nightlife, wildlife, relaxing"
Wyoming,Slovenia,Susan Groves Park,Beach,high,Mar-May,"shopping, safari, relaxing, skiing"
Rhode Island,Mozambique,Maureen Streets Bay,Cultural,medium,Sep-Nov,"surfing, food, trekking, nightlife"
Minnesota,India,Ray Roads Bay,Cultural,luxury,Sep-Nov,"nightlife, temple visit, culture, technology"
Virginia,Gambia,Smith Highway Temple,Historical,high,Sep-Nov,"relaxing, technology, food, culture"
New Jersey,Antarctica (the territory South of 60 deg S),Christina Inlet Beach,Urban,high,Dec-Feb,"nightlife, safari, culture, shopping"
Arizona,Montenegro,Sheri Camp Tower,Adventure,high,Jan-Mar,"trekking, yoga"
Oklahoma,Equatorial Guinea,Franklin Track Park,Adventure,low,June-Aug,"wildlife, nightlife, technology"
South Dakota,Guinea,Sutton Valley Fort,Mountain,luxury,Dec-Feb,"shopping, surfing, wildlife, skiing"
Maharashtra,India,Gateway of India,Cultural,low,Dec-Feb,"nightlife, safari, skiing"
Kentucky,Australia,Lauren Union Beach,Cultural,luxury,June-Aug,"nightlife, wildlife"
Karnataka,India,Mysore Palace,Cultural,low,Jan-Mar,"relaxing, safari"
Montana,Chad,Toni Estates Park,Desert,luxury,June-Aug,"temple visit, culture, food, yoga"
Georgia,Madagascar,Schultz Spurs Fort,Desert,high,Jan-Mar,"temple visit, relaxing, wildlife"
Missouri,Bulgaria,Thompson Manor Beach,Desert,high,Sep-Nov,"food, yoga"
Iowa,Turkey,John Mountains Temple,Desert,medium,Mar-May,"temple visit, skiing, technology, shopping"
West Virginia,Iceland,Stokes Route Park,Cultural,low,Dec-Feb,"food, yoga, shopping"
Goa,India,Dudhsagar Falls,Historical,medium,Jan-Mar,"relaxing, skiing, trekking"
West Bengal,India,Victoria Memorial,Adventure,medium,Mar-May,"wildlife, nightlife, shopping, trekking"
New Jersey,Mali,Parker Row Fort,Cultural,low,Dec-Feb,"relaxing, shopping, wildlife, nightlife"
Montana,Malta,Byrd Shores Temple,Adventure,low,June-Aug,"safari, nightlife, technology, culture"
Pennsylvania,Pakistan,Humphrey Square Fort,Mountain,luxury,Mar-May,"nightlife, safari, wildlife"
Rajasthan,India,Hawa Mahal,Cultural,low,Sep-Nov,"shopping, safari"
Wisconsin,Hungary,Colon Underpass Beach,Cultural,high,Mar-May,"skiing, surfing, temple visit, shopping"
New Hampshire,Korea,Navarro Summit Beach,Desert,low,Jan-Mar,"surfing, wildlife"
Arizona,Saint Kitts and Nevis,Washington Mountain Beach,Cultural,low,Dec-Feb,"safari, trekking, shopping"
Oklahoma,India,Gregory Views Tower,Mountain,high,Mar-May,"relaxing, skiing, trekking, shopping"
Nevada,Kiribati,Johnson Port Tower,Adventure,low,Dec-Feb,"skiing, yoga, food"
Wyoming,Saint Vincent and the Grenadines,Ryan Valley Temple,Beach,luxury,Mar-May,"temple visit, nightlife, trekking"
Rhode Island,Hungary,Keith Estate Tower,Adventure,luxury,Mar-May,"wildlife, shopping, temple visit, safari"
Uttarakhand,India,Kedarnath,Cultural,high,Mar-May,"culture, temple visit, wildlife, safari"
Maryland,Belarus,Jones Knolls Beach,Adventure,low,Dec-Feb,"shopping, skiing, culture"
Massachusetts,Armenia,Woodward Extensions Park,Cultural,low,Dec-Feb,"culture, trekking"
Georgia,Puerto Rico,Robert Streets Temple,Historical,high,Dec-Feb,"technology, culture"
Kansas,Falkland Islands (Malvinas),Christopher Square Fort,Beach,luxury,Sep-Nov,"yoga, temple visit"
Texas,Azerbaijan,Townsend Prairie Temple,Cultural,medium,Dec-Feb,"safari, skiing, technology"
Kerala,India,Alleppey Backwaters,Urban,low,Mar-May,"yoga, trekking, temple visit, relaxing"
Maharashtra,India,Gateway of India,Historical,low,Sep-Nov,"trekking, skiing, culture, safari"
Rhode Island,Grenada,Christy Lane Bay,Adventure,high,Dec-Feb,"nightlife, yoga, surfing, technology"
Kansas,Korea,Jessica Pass Fort,Historical,medium,Mar-May,"shopping, technology, yoga, skiing"
Connecticut,Israel,Walker Turnpike Bay,Urban,high,Sep-Nov,"skiing, food"
Goa,India,Dudhsagar Falls,Adventure,low,Jan-Mar,"culture, trekking"
West Bengal,India,Sundarbans,Cultural,luxury,Sep-Nov,"culture, skiing"
Delhi,India,Qutub Minar,Adventure,medium,Mar-May,"skiing, trekking, surfing"
Goa,India,Baga Beach,Mountain,high,Jan-Mar,"culture, wildlife"
Oklahoma,Vanuatu,Archer Ports Tower,Cultural,medium,Sep-Nov,"yoga, temple visit, nightlife"
Uttarakhand,India,Kedarnath,Mountain,high,June-Aug,"skiing, surfing, culture"
Kerala,India,Alleppey Backwaters,Beach,medium,Jan-Mar,"skiing, shopping, temple visit"
Uttar Pradesh,India,Varanasi Ghats,Urban,high,June-Aug,"skiing, surfing, wildlife, nightlife"
Mississippi,Macedonia,Martin Corners Tower,Adventure,high,Sep-Nov,"technology, surfing"
Massachusetts,South Africa,Page Road Tower,Desert,medium,Dec-Feb,"temple visit, technology, skiing"
Hawaii,Estonia,Jenna Mall Beach,Desert,medium,June-Aug,"temple visit, wildlife, shopping, food"
California,Belgium,Dean Radial Temple,Urban,luxury,Dec-Feb,"culture, temple visit"
Karnataka,India,Hampi,Cultural,high,Mar-May,"food, safari, shopping"
Idaho,Brazil,Larry Fort Bay,Mountain,luxury,Mar-May,"trekking, nightlife"
Uttar Pradesh,India,Taj Mahal,Beach,medium,Sep-Nov,"surfing, nightlife, relaxing, shopping"
Mississippi,Hungary,Christopher Junctions Beach,Historical,high,June-Aug,"trekking, shopping, safari, food"
Hawaii,Morocco,Cynthia Field Fort,Historical,low,Sep-Nov,"yoga, skiing, relaxing, food"
Arizona,Liberia,Thomas Station Park,Beach,luxury,Dec-Feb,"temple visit, wildlife"
Connecticut,Cook Islands,Jeffrey Camp Beach,Beach,luxury,Jan-Mar,"trekking, skiing"
Oklahoma,Tonga,Corey Hills Beach,Historical,luxury,Mar-May,"skiing, culture"
Mississippi,Romania,Victoria Center Bay,Beach,high,Mar-May,"culture, food, yoga, technology"
Utah,Uruguay,Rogers Plaza Temple,Urban,luxury,Dec-Feb,"wildlife, technology, yoga"
Himachal Pradesh,India,Solang Valley,Mountain,medium,Jan-Mar,"surfing, shopping, temple visit, yoga"
Arizona,Taiwan,Carmen Falls Fort,Historical,low,Dec-Feb,"safari, technology, temple visit"
Texas,Suriname,Vanessa Plains Tower,Urban,luxury,June-Aug,"shopping, yoga"
New Jersey,Mexico,Michelle Fields Beach,Cultural,low,Jan-Mar,"nightlife, temple visit"
Himachal Pradesh,India,Solang Valley,Historical,low,June-Aug,"temple visit, shopping, nightlife, technology"
Oregon,Isle of Man,Mark Junctions Temple,Cultural,low,Mar-May,"relaxing, nightlife, yoga"
Kerala,India,Munnar Tea Gardens,Mountain,medium,Jan-Mar,"food, culture"
Uttarakhand,India,Kedarnath,Mountain,high,June-Aug,"relaxing, nightlife"
Ohio,Germany,Michael Turnpike Beach,Mountain,medium,Sep-Nov,"yoga, nightlife, shopping"
Utah,Burkina Faso,Warren Fort Beach,Urban,high,June-Aug,"relaxing, surfing, culture, technology"
Florida,Montserrat,Haney Glens Beach,Urban,high,June-Aug,"yoga, wildlife"
Montana,Bolivia,Linda Streets Tower,Urban,low,Sep-Nov,"yoga, skiing"
Wyoming,Saint Barthelemy,Kevin Pike Fort,Cultural,high,Mar-May,"wildlife, relaxing, yoga"
Ladakh,India,Pangong Lake,Cultural,low,Sep-Nov,"culture, food"
Uttar Pradesh,India,Varanasi Ghats,Adventure,medium,Mar-May,"safari, nightlife, technology, temple visit"
Arizona,Belize,Macias Rapid Beach,Adventure,low,Jan-Mar,"food, shopping, safari, nightlife"
Minnesota,Grenada,Robert Turnpike Temple,Urban,low,Mar-May,"relaxing, surfing, food"
Tamil Nadu,India,Ooty,Mountain,luxury,Sep-Nov,"wildlife, trekking, culture, skiing"
Kerala,India,Munnar Tea Gardens,Historical,luxury,Mar-May,"nightlife, culture"
Wyoming,Afghanistan,Hawkins Prairie Bay,Urban,luxury,June-Aug,"technology, relaxing, culture"
Pennsylvania,Malawi,Mitchell Run Fort,Adventure,low,Jan-Mar,"technology, food, trekking"
Rhode Island,Lithuania,Contreras Spring Fort,Urban,luxury,Dec-Feb,"technology, shopping"
Rhode Island,Lesotho,Curtis Pine Tower,Beach,high,Jan-Mar,"technology, skiing, trekking, culture"
West Virginia,Norway,Brandon Crossing Temple,Historical,luxury,Sep-Nov,"relaxing, wildlife, trekking"
Ohio,Samoa,Campbell Plaza Bay,Desert,luxury,Sep-Nov,"temple visit, wildlife, nightlife"
New Jersey,Saint Pierre and Miquelon,Brooks Crest Park,Beach,high,Mar-May,"technology, surfing, skiing, yoga"
Tennessee,Cape Verde,Miller Pine Beach,Adventure,low,Dec-Feb,"yoga, safari, wildlife, food"
Oklahoma,India,John Flat Bay,Adventure,high,Sep-Nov,"food, trekking, culture"
Tamil Nadu,India,Ooty,Historical,medium,Mar-May,"relaxing, skiing, technology, safari"
Florida,Antarctica (the territory South of 60 deg S),Brooks Glens Fort,Cultural,high,Jan-Mar,"skiing, nightlife, relaxing"
Alaska,Korea,Simmons Loop Park,Adventure,medium,Jan-Mar,"technology, shopping"
California,Poland,Chelsea Stravenue Tower,Adventure,low,Sep-Nov,"temple visit, wildlife, technology"
Rajasthan,India,Amber Fort,Desert,medium,Dec-Feb,"nightlife, yoga, technology"
Tennessee,Switzerland,Knox Gateway Beach,Urban,high,Jan-Mar,"yoga, relaxing"
South Dakota,Puerto Rico,Sue Mountain Park,Cultural,luxury,Jan-Mar,"temple visit, yoga, safari, wildlife"
Oregon,Macedonia,Timothy Loop Tower,Mountain,high,June-Aug,"shopping, technology, culture"
West Bengal,India,Victoria Memorial,Cultural,low,Mar-May,"culture, yoga, food, surfing"
Uttarakhand,India,Kedarnath,Adventure,luxury,Sep-Nov,"food, shopping, trekking, temple visit"
Himachal Pradesh,India,Rohtang Pass,Historical,luxury,Sep-Nov,"nightlife, food, culture"
Georgia,Macedonia,Young Square Temple,Mountain,high,Dec-Feb,"wildlife, technology"
Virginia,Romania,Christina Rapids Beach,Adventure,medium,Mar-May,"food, technology, culture, nightlife"
Massachusetts,Paraguay,Lewis Alley Park,Historical,low,June-Aug,"surfing, food"
Alabama,Samoa,Andrea Locks Bay,Urban,low,Sep-Nov,"trekking, shopping, food"
Oregon,Gambia,Poole Route Bay,Cultural,medium,Jan-Mar,"nightlife, yoga, food"
Arkansas,United States Minor Outlying Islands,Gonzalez Streets Tower,Mountain,high,Mar-May,"skiing, trekking, wildlife, shopping"
Maine,Mozambique,Goodman Lodge Tower,Beach,luxury,Mar-May,"shopping, surfing"
Illinois,Slovakia (Slovak Republic),John Route Park,Mountain,medium,Sep-Nov,"wildlife, shopping"
South Carolina,Mali,Cameron Streets Tower,Beach,luxury,Sep-Nov,"safari, temple visit, wildlife, shopping"
Kerala,India,Alleppey Backwaters,Cultural,low,June-Aug,"trekking, surfing, skiing"
Tamil Nadu,India,Meenakshi Temple,Desert,high,Sep-Nov,"trekking, surfing"
New Mexico,Colombia,Johnson Cliff Bay,Mountain,low,Mar-May,"culture, safari, surfing, wildlife"
Delaware,Canada,Ashlee Greens Park,Cultural,medium,Jan-Mar,"nightlife, safari"
Goa,India,Dudhsagar Falls,Beach,low,Jan-Mar,"safari, yoga, surfing, trekking"
California,Suriname,Simmons Stravenue Bay,Urban,luxury,Mar-May,"culture, shopping"
Kentucky,Korea,Michael Trail Bay,Historical,high,Mar-May,"skiing, safari"
Uttar Pradesh,India,Taj Mahal,Adventure,high,Jan-Mar,"culture, yoga, safari"
Colorado,India,King Lodge Fort,Beach,luxury,June-Aug,"yoga, skiing"
Rajasthan,India,Amber Fort,Beach,high,Mar-May,"technology, trekking, temple visit, skiing"
Louisiana,Qatar,Marissa Roads Temple,Beach,low,June-Aug,"skiing, trekking"
North Dakota,Martinique,Skinner Meadows Temple,Historical,high,Sep-Nov,"culture, skiing, trekking"
Kansas,Andorra,Jesus Cliffs Fort,Urban,luxury,Mar-May,"culture, relaxing"
Ohio,Tuvalu,Barnett Field Tower,Cultural,high,Dec-Feb,"relaxing, surfing"
Delhi,India,Qutub Minar,Urban,high,Mar-May,"wildlife, relaxing, culture"
Idaho,Bosnia and Herzegovina,Villa Inlet Bay,Adventure,luxury,Mar-May,"yoga, surfing"
Michigan,Macao,Chandler Parkways Bay,Mountain,luxury,Jan-Mar,"yoga, food, trekking"
Idaho,Maldives,Garcia Place Park,Cultural,luxury,June-Aug,"yoga, culture, safari, nightlife"
New Mexico,Guinea,Ewing Loaf Tower,Beach,low,Mar-May,"nightlife, yoga, relaxing"
Virginia,Ukraine,Taylor Green Temple,Cultural,luxury,Dec-Feb,"culture, temple visit, safari"
Maine,Tonga,Price Radial Beach,Desert,low,Jan-Mar,"yoga, trekking"
Ladakh,India,Magnetic Hill,Cultural,low,Jan-Mar,"technology, nightlife, culture, skiing"
Iowa,Benin,Richard River Tower,Urban,luxury,Mar-May,"surfing, technology, skiing, culture"
Maine,Cyprus,Krystal Forges Park,Urban,high,Mar-May,"trekking, nightlife"
Georgia,Bosnia and Herzegovina,Trujillo Glen Beach,Beach,medium,Mar-May,"trekking, culture"
New Mexico,Ecuador,Gregory Divide Beach,Adventure,medium,Mar-May,"temple visit, relaxing, technology"
Nebraska,Peru,Perez Turnpike Fort,Beach,low,Mar-May,"food, wildlife, trekking, surfing"
California,Turkmenistan,Wilson Junction Bay,Historical,low,Mar-May,"wildlife, skiing, temple visit, culture"
Nebraska,Maldives,Hopkins Forge Bay,Urban,low,Jan-Mar,"surfing, wildlife, trekking"
Karnataka,India,Hampi,Desert,medium,Sep-Nov,"yoga, nightlife, culture, surfing"
Kerala,India,Munnar Tea Gardens,Cultural,low,Mar-May,"technology, shopping, relaxing"
Ladakh,India,Magnetic Hill,Mountain,high,Sep-Nov,"wildlife, technology"
Oklahoma,Madagascar,Singh Throughway Park,Desert,high,Jan-Mar,"temple visit, shopping, technology, wildlife"
Uttarakhand,India,Rishikesh,Cultural,luxury,June-Aug,"skiing, surfing"
Utah,Brunei Darussalam,Valerie Keys Beach,Urban,low,June-Aug,"temple visit, relaxing, trekking"
Rajasthan,India,Amber Fort,Cultural,low,Dec-Feb,"surfing, yoga"
Wyoming,Tunisia,Adams Lakes Tower,Mountain,luxury,Jan-Mar,"skiing, surfing, relaxing, technology"
Uttar Pradesh,India,Taj Mahal,Beach,luxury,June-Aug,"surfing, nightlife, relaxing, safari"
Uttar Pradesh,India,Varanasi Ghats,Mountain,low,Sep-Nov,"safari, temple visit, nightlife, technology"
Maharashtra,India,Ajanta Caves,Cultural,high,June-Aug,"wildlife, skiing, nightlife"
Utah,Vanuatu,Brown Lake Fort,Urban,low,Dec-Feb,"technology, shopping, food, yoga"
Iowa,Mozambique,Mendez Drives Tower,Historical,medium,Jan-Mar,"nightlife, shopping"
Alabama,Montserrat,Davis Port Bay,Urban,low,Mar-May,"safari, technology, trekking, nightlife"
New Jersey,New Caledonia,Mullins Prairie Tower,Beach,high,Dec-Feb,"shopping, safari, trekking"
Delhi,India,India Gate,Beach,high,Jan-Mar,"nightlife, food"
Oklahoma,Cambodia,Thornton Parkway Park,Historical,luxury,Jan-Mar,"food, surfing"
Karnataka,India,Mysore Palace,Beach,high,Sep-Nov,"skiing, wildlife, surfing, temple visit"
Florida,Cambodia,Lauren Plaza Park,Mountain,luxury,Sep-Nov,"wildlife, surfing"
Colorado,Dominican Republic,Murphy Station Beach,Cultural,luxury,Sep-Nov,"yoga, culture"
North Dakota,United Arab Emirates,Sweeney Plaza Tower,Urban,luxury,Sep-Nov,"culture, wildlife, skiing"
Tennessee,Italy,Davis Trail Beach,Adventure,medium,June-Aug,"temple visit, food, culture"
Idaho,Samoa,Jackson Prairie Park,Beach,medium,June-Aug,"temple visit, technology, safari"
Ladakh,India,Magnetic Hill,Urban,medium,Sep-Nov,"food, yoga"
Uttar Pradesh,India,Taj Mahal,Historical,high,June-Aug,"safari, skiing, yoga"
Indiana,Cayman Islands,Michael Mission Beach,Urban,medium,June-Aug,"food, surfing, culture"
Himachal Pradesh,India,Rohtang Pass,Urban,high,Mar-May,"wildlife, nightlife, surfing, food"
South Dakota,Tajikistan,Kent Inlet Bay,Urban,luxury,June-Aug,"safari, food"
North Dakota,Kiribati,Alexander Curve Fort,Adventure,high,Jan-Mar,"yoga, nightlife"
Louisiana,Equatorial Guinea,Michelle Curve Bay,Adventure,medium,Mar-May,"skiing, technology, food, shopping"
Arizona,Belgium,Cline Gateway Beach,Adventure,low,Mar-May,"relaxing, technology, wildlife"
Kerala,India,Munnar Tea Gardens,Beach,high,Jan-Mar,"trekking, safari, food"
Delhi,India,India Gate,Adventure,low,June-Aug,"skiing, safari, nightlife"
Maryland,Israel,Frazier Shoal Tower,Adventure,low,June-Aug,"relaxing, yoga"
Arizona,Cuba,Scott Flats Park,Adventure,luxury,Sep-Nov,"nightlife, food"
Tamil Nadu,India,Ooty,Beach,medium,Dec-Feb,"trekking, technology, skiing, wildlife"
Mississippi,Libyan Arab Jamahiriya,Courtney Drives Temple,Mountain,low,Sep-Nov,"yoga, relaxing, culture"
Oklahoma,Papua New Guinea,Calhoun Falls Park,Mountain,high,June-Aug,"technology, food, surfing, temple visit"
Utah,Tokelau,Christina Dam Bay,Mountain,medium,Jan-Mar,"yoga, safari, wildlife"
Texas,India,Renee Flat Fort,Cultural,medium,Jan-Mar,"relaxing, temple visit, wildlife"
North Carolina,Gibraltar,Parker Road Temple,Cultural,luxury,Jan-Mar,"nightlife, surfing, yoga, wildlife"
Vermont,Central African Republic,Gregory Skyway Beach,Historical,low,Dec-Feb,"surfing, trekking, skiing, temple visit"
Iowa,Kuwait,Lynch Court Fort,Urban,low,Sep-Nov,"nightlife, wildlife, skiing"
Rajasthan,India,Hawa Mahal,Cultural,medium,Sep-Nov,"trekking, technology, shopping, nightlife"
New Mexico,Jersey,Kristen Brook Bay,Urban,high,June-Aug,"temple visit, technology, trekking, skiing"
Delhi,India,Qutub Minar,Mountain,luxury,Jan-Mar,"wildlife, safari, skiing, culture"
Goa,India,Baga Beach,Mountain,high,June-Aug,"wildlife, relaxing, yoga"
Rajasthan,India,Hawa Mahal,Beach,medium,Mar-May,"culture, skiing"
Alaska,Jordan,Sanchez Flats Fort,Historical,medium,June-Aug,"nightlife, relaxing, surfing"
Nevada,Cyprus,Anderson Keys Tower,Desert,luxury,Dec-Feb,"technology, yoga, temple visit, relaxing"
Colorado,South Georgia and the South Sandwich Islands,Michael Common Beach,Urban,medium,Sep-Nov,"safari, nightlife"
Alabama,Dominican Republic,Sean Curve Park,Urban,low,June-Aug,"shopping, surfing"
Delaware,Kazakhstan,Robert Cape Beach,Historical,high,Mar-May,"surfing, skiing"
New Mexico,Rwanda,Underwood Village Fort,Adventure,medium,Dec-Feb,"nightlife, temple visit, trekking"
Mississippi,Ecuador,Susan Lodge Temple,Desert,medium,June-Aug,"shopping, technology, surfing, trekking"
Oklahoma,United Arab Emirates,Lewis Manor Beach,Mountain,medium,Sep-Nov,"temple visit, yoga, technology, culture"
New York,Hungary,Erica Isle Beach,Desert,medium,Jan-Mar,"surfing, temple visit, culture, technology"
Virginia,Ireland,Jennifer Squares Temple,Urban,low,Jan-Mar,"food, shopping, surfing"
Illinois,Bulgaria,Bryant Ports Beach,Desert,high,June-Aug,"technology, food, temple visit"
Maharashtra,India,Ajanta Caves,Cultural,low,Jan-Mar,"relaxing, yoga, shopping, safari"
Minnesota,Swaziland,William Park Park,Urban,high,Mar-May,"yoga, nightlife"
West Bengal,India,Victoria Memorial,Urban,medium,June-Aug,"yoga, trekking, safari"
Maine,Bhutan,Katie Mall Tower,Adventure,medium,Sep-Nov,"shopping, skiing"
Uttarakhand,India,Kedarnath,Mountain,medium,Dec-Feb,"relaxing, technology"
Georgia,Kenya,Joe Coves Temple,Urban,luxury,June-Aug,"temple visit, shopping, food"
West Virginia,Vietnam,Oconnor Crescent Temple,Cultural,high,Dec-Feb,"food, yoga, wildlife, trekking"
Illinois,Northern Mariana Islands,Omar Springs Temple,Beach,low,Dec-Feb,"culture, food"
Wyoming,Saint Vincent and the Grenadines,Price Harbors Beach,Urban,medium,Sep-Nov,"skiing, shopping, surfing"
New Jersey,South Georgia and the South Sandwich Islands,Moreno Estates Bay,Historical,low,Jan-Mar,"yoga, skiing"
Ladakh,India,Magnetic Hill,Mountain,low,June-Aug,"skiing, safari"
New Jersey,Canada,Reyes Crest Fort,Cultural,low,Dec-Feb,"safari, nightlife"
South Dakota,Germany,Becker Mountain Tower,Mountain,luxury,Sep-Nov,"wildlife, trekking, nightlife, temple visit"
Rhode Island,Northern Mariana Islands,Phyllis Coves Bay,Mountain,high,Mar-May,"food, safari, temple visit, wildlife"
Goa,India,Dudhsagar Falls,Beach,medium,Dec-Feb,"safari, culture"
Karnataka,India,Hampi,Mountain,high,June-Aug,"surfing, food, wildlife, temple visit"
South Carolina,Bolivia,David Lights Temple,Adventure,medium,June-Aug,"food, technology, yoga, nightlife"
Maharashtra,India,Ajanta Caves,Historical,medium,June-Aug,"trekking, yoga, surfing, temple visit"
Alaska,Malta,Miller Walks Beach,Beach,medium,June-Aug,"temple visit, safari, wildlife"
Mississippi,French Guiana,Amy Stravenue Park,Mountain,medium,Sep-Nov,"skiing, surfing, relaxing"
Arkansas,Jamaica,Martin Estates Park,Historical,medium,June-Aug,"temple visit, wildlife, trekking, yoga"
Himachal Pradesh,India,Rohtang Pass,Historical,medium,Sep-Nov,"surfing, culture, temple visit, shopping"
Uttarakhand,India,Rishikesh,Adventure,luxury,June-Aug,"shopping, trekking"
New Hampshire,Sri Lanka,Riddle Manor Park,Mountain,luxury,June-Aug,"food, safari, relaxing"
Georgia,Bulgaria,Megan Burg Tower,Historical,low,June-Aug,"trekking, safari"
Wyoming,Germany,Deborah Pine Temple,Beach,high,June-Aug,"technology, food, trekking, culture"
Kerala,India,Alleppey Backwaters,Cultural,low,June-Aug,"shopping, technology, yoga"
Goa,India,Baga Beach,Adventure,medium,Sep-Nov,"shopping, safari, skiing, surfing"
Mississippi,Madagascar,Hector Meadow Beach,Beach,high,Dec-Feb,"technology, relaxing, skiing, shopping"
Florida,American Samoa,Sanchez Gateway Park,Historical,medium,Dec-Feb,"yoga, relaxing, trekking, food"
Uttar Pradesh,India,Taj Mahal,Urban,high,Dec-Feb,"culture, trekking, safari, surfing"
Virginia,China,John Highway Tower,Adventure,medium,Dec-Feb,"wildlife, yoga, temple visit, trekking"
Tamil Nadu,India,Meenakshi Temple,Desert,luxury,Dec-Feb,"relaxing, shopping, food, safari"
