State,Country,Place,type,budget,season,activities
Himachal Pradesh,India,Solang Valley,Mountain,luxury,Jan-Mar,"nightlife, shopping"
Kerala,India,Alleppey Backwaters,Urban,high,Sep-Nov,"food, wildlife, surfing, safari"
Colorado,Chad,Brown Viaduct Bay,Historical,low,June-Aug,"technology, food, yoga, trekking"
Wyoming,Colombia,Kennedy Ways Park,Desert,high,Jan-Mar,"trekking, wildlife, culture"
Oklahoma,Bouvet Island (Bouvetoya),Adam Crossroad Temple,Desert,high,Dec-Feb,"surfing, relaxing, shopping"
Himachal Pradesh,India,Rohtang Pass,Desert,luxury,Jan-Mar,"shopping, trekking"
Delhi,India,Qutub Minar,Beach,luxury,Sep-Nov,"food, relaxing, skiing"
Florida,Oman,Tyler Shoals Beach,Beach,high,Sep-Nov,"wildlife, food, yoga"
Vermont,Namibia,Ford Rue Beach,Desert,low,June-Aug,"wildlife, relaxing"
Iowa,Sudan,Barrett Walks Park,Desert,high,Sep-Nov,"wildlife, food, culture, relaxing"
Ohio,United Kingdom,Diane Ford Park,Desert,high,June-Aug,"skiing, trekking, temple visit"
Idaho,Senegal,Harris Ranch Fort,Adventure,high,Jan-Mar,"food, surfing, culture, technology"
Idaho,Netherlands Antilles,Linda Summit Fort,Urban,medium,Jan-Mar,"skiing, technology, food"
Rajasthan,India,Hawa Mahal,Urban,luxury,Dec-Feb,"food, culture"
Alaska,Western Sahara,Heather Pine Temple,Historical,medium,June-Aug,"relaxing, shopping, yoga"
Colorado,Finland,Johnson Light Tower,Urban,luxury,Dec-Feb,"safari, relaxing, trekking, shopping"
Vermont,Nauru,Lopez Ports Bay,Adventure,high,Mar-May,"safari, skiing"
Mississippi,Mauritius,Schaefer Curve Tower,Mountain,high,Mar-May,"yoga, shopping, wildlife, trekking"
West Bengal,India,Sundarbans,Historical,high,Jan-Mar,"trekking, culture"
New Mexico,Argentina,Bernard Grove Bay,Cultural,medium,June-Aug,"surfing, relaxing, skiing"
West Bengal,India,Sundarbans,Historical,medium,Dec-Feb,"relaxing, skiing"
Delhi,India,Qutub Minar,Beach,medium,Mar-May,"yoga, nightlife"
Kentucky,Netherlands,Gerald Stream Temple,Desert,low,Sep-Nov,"yoga, shopping, safari"
Goa,India,Dudhsagar Falls,Mountain,luxury,June-Aug,"technology, trekking, surfing, relaxing"
New York,Guernsey,Butler View Beach,Urban,luxury,June-Aug,"technology, nightlife, food, shopping"
Mississippi,Palestinian Territory,Martin Spur Beach,Desert,low,June-Aug,"yoga, skiing, wildlife"
Kentucky,Timor-Leste,Murray Roads Fort,Mountain,luxury,Sep-Nov,"culture, food, yoga, wildlife"
Louisiana,Nauru,Taylor Isle Park,Cultural,luxury,Mar-May,"surfing, safari, food"
Rajasthan,India,Amber Fort,Urban,low,Dec-Feb,"surfing, safari, technology, shopping"
Michigan,French Polynesia,Lori Mountain Park,Desert,high,Dec-Feb,"wildlife, skiing"
West Bengal,India,Victoria Memorial,Cultural,luxury,Mar-May,"surfing, food, nightlife"
Delhi,India,Qutub Minar,Adventure,low,Sep-Nov,"temple visit, skiing, wildlife"
Rajasthan,India,Hawa Mahal,Mountain,high,Jan-Mar,"safari, yoga, skiing"
Indiana,Isle of Man,John Motorway Bay,Beach,medium,Dec-Feb,"temple visit, relaxing, yoga"
Uttar Pradesh,India,Varanasi Ghats,Adventure,low,June-Aug,"wildlife, yoga, trekking"
Tamil Nadu,India,Meenakshi Temple,Adventure,luxury,Mar-May,"wildlife, yoga, temple visit"
Uttar Pradesh,India,Taj Mahal,Historical,low,Dec-Feb,"relaxing, skiing, technology"
Connecticut,Congo,Christopher Parkway Beach,Historical,medium,Dec-Feb,"surfing, yoga"
Iowa,Austria,Joel Corner Park,Mountain,medium,June-Aug,"wildlife, nightlife"
Kerala,India,Alleppey Backwaters,Adventure,low,Sep-Nov,"safari, shopping"
Wisconsin,Saint Pierre and Miquelon,Watkins Coves Park,Urban,luxury,Mar-May,"temple visit, yoga"
Utah,Syrian Arab Republic,Cindy Knolls Beach,Desert,medium,June-Aug,"food, relaxing"
Maharashtra,India,Gateway of India,Cultural,medium,Dec-Feb,"shopping, yoga"
Tamil Nadu,India,Meenakshi Temple,Cultural,high,Sep-Nov,"technology, skiing, culture, temple visit"
Hawaii,Mayotte,Snyder Fort Tower,Historical,luxury,June-Aug,"trekking, food, safari, shopping"
Maine,Albania,John Fields Beach,Desert,high,June-Aug,"skiing, technology"
Alabama,Ukraine,Jessica Port Fort,Beach,luxury,June-Aug,"safari, shopping"
Rajasthan,India,Amber Fort,Urban,low,Dec-Feb,"technology, relaxing, food"
Maharashtra,India,Gateway of India,Desert,medium,Jan-Mar,"culture, nightlife, food, technology"
Alaska,Suriname,David Radial Bay,Historical,luxury,June-Aug,"wildlife, food, relaxing"
Oklahoma,Gibraltar,Mindy Spur Park,Cultural,luxury,Mar-May,"shopping, temple visit, wildlife, nightlife"
Arizona,Guatemala,Matthews Junction Temple,Urban,luxury,Dec-Feb,"temple visit, trekking, nightlife"
Himachal Pradesh,India,Solang Valley,Urban,medium,Jan-Mar,"yoga, technology, surfing, nightlife"
Rajasthan,India,Hawa Mahal,Beach,high,June-Aug,"culture, nightlife, relaxing"
Uttarakhand,India,Rishikesh,Historical,low,Dec-Feb,"wildlife, shopping, skiing"
Iowa,Montserrat,Megan Neck Beach,Beach,low,Sep-Nov,"skiing, relaxing, nightlife, shopping"
Oklahoma,Taiwan,Michele Cliffs Bay,Cultural,medium,Jan-Mar,"shopping, yoga, trekking, skiing"
Missouri,Austria,Robertson Field Fort,Urban,medium,Mar-May,"skiing, shopping, surfing"
Connecticut,Mozambique,Frank Parkway Bay,Adventure,medium,June-Aug,"trekking, technology, safari"
Connecticut,United Arab Emirates,Wright Creek Park,Adventure,high,Mar-May,"nightlife, skiing, culture, technology"
Idaho,South Georgia and the South Sandwich Islands,Allen Burgs Tower,Cultural,high,Sep-Nov,"relaxing, skiing"
New Jersey,Uganda,Williams Meadows Tower,Adventure,medium,Mar-May,"surfing, nightlife, culture, technology"
Massachusetts,Chile,Jamie Meadows Bay,Urban,medium,Dec-Feb,"relaxing, temple visit, nightlife, wildlife"
Florida,French Polynesia,Travis Trail Tower,Adventure,high,Dec-Feb,"culture, shopping, skiing"
Wyoming,Faroe Islands,Mark Club Fort,Historical,medium,Sep-Nov,"nightlife, food, wildlife"
West Bengal,India,Victoria Memorial,Desert,high,Mar-May,"nightlife, skiing"
Rajasthan,India,Hawa Mahal,Urban,luxury,Jan-Mar,"shopping, temple visit, technology"
Washington,Azerbaijan,Robert Mills Tower,Mountain,luxury,Mar-May,"skiing, surfing"
Alabama,France,Diana Plains Fort,Urban,low,Sep-Nov,"trekking, surfing"
Karnataka,India,Mysore Palace,Desert,low,Jan-Mar,"technology, skiing, trekking"
Rajasthan,India,Hawa Mahal,Desert,low,Dec-Feb,"relaxing, skiing"
Iowa,Sierra Leone,Mendez Club Beach,Beach,luxury,Mar-May,"wildlife, temple visit"
New York,Burkina Faso,Bates Street Temple,Historical,low,Dec-Feb,"trekking, nightlife"
Ladakh,India,Magnetic Hill,Desert,luxury,Dec-Feb,"skiing, wildlife, temple visit, yoga"
Montana,Pakistan,John Ford Tower,Historical,low,Sep-Nov,"culture, nightlife, food"
Himachal Pradesh,India,Solang Valley,Desert,high,June-Aug,"yoga, technology"
Texas,Canada,Dennis Avenue Temple,Historical,luxury,Dec-Feb,"yoga, relaxing"
Delaware,Zambia,Kim Road Beach,Mountain,medium,Jan-Mar,"shopping, technology"
South Dakota,Isle of Man,Leblanc Shoal Tower,Desert,low,Mar-May,"skiing, shopping, culture, nightlife"
Washington,Germany,Thomas Valleys Tower,Historical,medium,Sep-Nov,"nightlife, safari"
Oregon,Cote d'Ivoire,Dylan Cliffs Park,Urban,medium,Sep-Nov,"culture, skiing, safari"
Uttarakhand,India,Kedarnath,Adventure,medium,Jan-Mar,"culture, relaxing"
Washington,French Polynesia,Eric Rapid Beach,Mountain,high,Jan-Mar,"trekking, surfing, technology"
Kentucky,Timor-Leste,Taylor Locks Park,Adventure,high,Dec-Feb,"food, surfing, temple visit, nightlife"
Louisiana,Saint Martin,Robert Orchard Temple,Desert,medium,Sep-Nov,"skiing, culture"
Arkansas,Peru,Jackie Rapid Bay,Beach,medium,Dec-Feb,"wildlife, safari, food, trekking"
Colorado,Poland,Gardner Islands Beach,Beach,low,Jan-Mar,"technology, food, temple visit, relaxing"
West Bengal,India,Victoria Memorial,Beach,high,Jan-Mar,"skiing, surfing, nightlife"
Delhi,India,Qutub Minar,Desert,luxury,Jan-Mar,"trekking, food"
Arizona,Benin,Whitney Ford Temple,Urban,low,June-Aug,"skiing, food, safari"
Oklahoma,Faroe Islands,Anthony Burgs Park,Historical,medium,Jan-Mar,"technology, temple visit"
Kerala,India,Alleppey Backwaters,Urban,luxury,Jan-Mar,"skiing, food, wildlife"
Himachal Pradesh,India,Solang Valley,Mountain,high,Dec-Feb,"technology, shopping, culture"
Kerala,India,Munnar Tea Gardens,Beach,medium,June-Aug,"safari, technology, wildlife, shopping"
Alabama,Vanuatu,Kelly Station Tower,Historical,low,Dec-Feb,"relaxing, surfing, shopping"
Vermont,Ukraine,Whitney Plains Bay,Cultural,medium,Dec-Feb,"surfing, skiing, yoga"
Nebraska,Antarctica (the territory South of 60 deg S),Brad Glen Fort,Historical,luxury,Jan-Mar,"culture, technology"
Rhode Island,Egypt,Gray Road Tower,Cultural,medium,Jan-Mar,"skiing, food"
Ladakh,India,Magnetic Hill,Urban,high,Jan-Mar,"yoga, wildlife, technology"
Michigan,Bouvet Island (Bouvetoya),Steven Island Bay,Beach,low,Dec-Feb,"safari, temple visit"
Tamil Nadu,India,Meenakshi Temple,Adventure,high,June-Aug,"technology, yoga"
North Carolina,Germany,David Lock Tower,Beach,luxury,Mar-May,"yoga, food, safari"
Maryland,Greece,Kelly Motorway Park,Mountain,luxury,Jan-Mar,"technology, culture, wildlife, trekking"
Maryland,Libyan Arab Jamahiriya,Cook Village Tower,Adventure,low,Dec-Feb,"temple visit, food, relaxing"
Delhi,India,India Gate,Desert,luxury,Dec-Feb,"nightlife, culture"
Connecticut,Namibia,Frances Branch Bay,Cultural,medium,Jan-Mar,"yoga, temple visit, surfing"
Uttarakhand,India,Rishikesh,Beach,medium,June-Aug,"yoga, temple visit, skiing, safari"
Indiana,Namibia,Martin Flat Tower,Desert,medium,Mar-May,"safari, skiing"
Kerala,India,Alleppey Backwaters,Historical,luxury,Mar-May,"wildlife, food, culture, technology"
Florida,Cuba,Brown Gateway Beach,Historical,low,Mar-May,"temple visit, culture, yoga, wildlife"
California,Eritrea,Mccormick Square Bay,Historical,luxury,June-Aug,"trekking, temple visit, wildlife"
Rajasthan,India,Amber Fort,Cultural,medium,June-Aug,"trekking, temple visit, technology"
New Hampshire,Oman,Kimberly Ridges Bay,Historical,low,Mar-May,"wildlife, temple visit, culture, technology"
Tamil Nadu,India,Meenakshi Temple,Beach,low,Sep-Nov,"wildlife, shopping, surfing, culture"
Colorado,Greece,Washington Overpass Temple,Urban,low,June-Aug,"technology, safari, temple visit"
Missouri,Burkina Faso,Jeffrey Prairie Bay,Beach,luxury,Jan-Mar,"surfing, yoga"
Goa,India,Baga Beach,Desert,medium,Sep-Nov,"yoga, relaxing"
Karnataka,India,Mysore Palace,Desert,medium,Jan-Mar,"temple visit, shopping"
Idaho,Samoa,Sara Forges Fort,Mountain,medium,June-Aug,"food, relaxing, trekking"
Nevada,Reunion,Sampson Loop Temple,Desert,luxury,Dec-Feb,"technology, nightlife, relaxing"
New Mexico,French Polynesia,Susan Hills Fort,Cultural,luxury,June-Aug,"technology, shopping"
Texas,Turks and Caicos Islands,Hawkins Rue Temple,Urban,low,June-Aug,"wildlife, yoga"
Michigan,Somalia,Rogers Garden Tower,Adventure,low,Mar-May,"relaxing, technology, food, yoga"
Colorado,Finland,Turner Locks Bay,Historical,medium,Dec-Feb,"shopping, skiing, temple visit, safari"
North Carolina,Turkmenistan,Goodman Heights Bay,Desert,low,Dec-Feb,"technology, yoga"
Tamil Nadu,India,Ooty,Mountain,medium,Sep-Nov,"safari, nightlife, yoga, temple visit"
Minnesota,Liechtenstein,Watts Ports Tower,Historical,luxury,Jan-Mar,"temple visit, technology, relaxing, culture"
Iowa,Saint Vincent and the Grenadines,Sellers Via Beach,Cultural,high,Mar-May,"surfing, food"
Karnataka,India,Hampi,Beach,medium,Dec-Feb,"culture, temple visit, yoga, safari"
South Dakota,Saint Helena,Fox Ramp Park,Urban,low,Sep-Nov,"temple visit, wildlife, yoga"
Oregon,Slovenia,Brown Prairie Beach,Beach,low,Dec-Feb,"shopping, trekking, food, relaxing"
Tennessee,Nepal,Ramos Run Bay,Adventure,high,Dec-Feb,"shopping, trekking, skiing, temple visit"
Idaho,Cuba,Jonathan Grove Park,Adventure,high,Jan-Mar,"shopping, temple visit, yoga, safari"
Karnataka,India,Mysore Palace,Cultural,low,June-Aug,"safari, yoga, nightlife, relaxing"
Uttarakhand,India,Rishikesh,Cultural,high,June-Aug,"surfing, relaxing"
Montana,Philippines,Moore Vista Tower,Cultural,luxury,Dec-Feb,"culture, skiing, trekking"
Virginia,Syrian Arab Republic,Carpenter Avenue Temple,Urban,low,Dec-Feb,"relaxing, wildlife"
Goa,India,Baga Beach,Beach,luxury,Sep-Nov,"yoga, food, nightlife"
Nebraska,Guinea,Marie Flat Park,Cultural,high,Jan-Mar,"temple visit, safari"
Kerala,India,Munnar Tea Gardens,Desert,low,Mar-May,"trekking, yoga, wildlife"
Maharashtra,India,Gateway of India,Beach,medium,Dec-Feb,"skiing, trekking, culture"
Massachusetts,Bermuda,Steven Bypass Fort,Mountain,low,Mar-May,"wildlife, surfing, temple visit"
Hawaii,Christmas Island,Cole Junction Bay,Adventure,low,Dec-Feb,"food, wildlife, safari, skiing"
Oklahoma,Guinea,Sandra Mission Beach,Historical,low,Sep-Nov,"shopping, skiing, temple visit, wildlife"
South Carolina,Saint Pierre and Miquelon,Sean Coves Tower,Adventure,high,Dec-Feb,"culture, wildlife"
Alaska,Bhutan,Stephanie Island Park,Mountain,high,Mar-May,"nightlife, technology, shopping"
Massachusetts,Central African Republic,Lee Lane Tower,Beach,high,Jan-Mar,"trekking, temple visit, yoga"
Utah,Uruguay,Soto Spur Beach,Historical,low,Sep-Nov,"nightlife, trekking"
Uttar Pradesh,India,Taj Mahal,Cultural,medium,Dec-Feb,"nightlife, yoga"
North Dakota,Morocco,Hobbs Locks Fort,Adventure,luxury,Sep-Nov,"temple visit, relaxing, nightlife, wildlife"
Goa,India,Baga Beach,Cultural,high,Jan-Mar,"wildlife, food"
Indiana,San Marino,Carlos Locks Beach,Desert,high,Sep-Nov,"culture, safari, technology, trekking"
Oregon,Latvia,Smith Haven Tower,Mountain,high,Mar-May,"safari, surfing, shopping"
Kerala,India,Alleppey Backwaters,Beach,low,Mar-May,"technology, nightlife, culture, food"
Nebraska,French Polynesia,Steven Knolls Temple,Cultural,luxury,June-Aug,"technology, shopping, skiing"
Uttarakhand,India,Kedarnath,Desert,luxury,Mar-May,"trekking, technology, food, temple visit"
Uttarakhand,India,Kedarnath,Cultural,luxury,Mar-May,"technology, culture, nightlife"
Rajasthan,India,Hawa Mahal,Urban,high,Sep-Nov,"surfing, skiing"
Rajasthan,India,Amber Fort,Adventure,low,June-Aug,"yoga, surfing, culture"
Goa,India,Dudhsagar Falls,Beach,high,Sep-Nov,"nightlife, trekking, surfing, technology"
Iowa,Papua New Guinea,Johnson Causeway Fort,Urban,low,June-Aug,"yoga, technology"
Himachal Pradesh,India,Solang Valley,Mountain,luxury,Sep-Nov,"nightlife, yoga, food, relaxing"
Iowa,Portugal,Smith Mountains Tower,Cultural,high,June-Aug,"wildlife, relaxing, surfing, trekking"
Rhode Island,Sierra Leone,Tammy Extension Park,Historical,luxury,Jan-Mar,"surfing, food, culture, relaxing"
Pennsylvania,Qatar,Tate Plain Fort,Adventure,low,Jan-Mar,"nightlife, wildlife, food, surfing"
Uttar Pradesh,India,Taj Mahal,Adventure,luxury,June-Aug,"temple visit, technology"
Wisconsin,Antigua and Barbuda,Davis Path Beach,Desert,high,Dec-Feb,"culture, surfing, food"
Ohio,United States of America,Brent Crossroad Bay,Cultural,medium,Jan-Mar,"skiing, temple visit"
Goa,India,Dudhsagar Falls,Cultural,high,Sep-Nov,"skiing, relaxing, food, wildlife"
Utah,Kazakhstan,Charles Grove Fort,Mountain,medium,June-Aug,"nightlife, relaxing, yoga"
Arkansas,Tajikistan,Paula Fort Fort,Beach,low,Dec-Feb,"wildlife, temple visit, nightlife"
South Dakota,Samoa,Griffin Harbor Temple,Historical,high,Dec-Feb,"temple visit, surfing"
South Dakota,Cocos (Keeling) Islands,Deborah Way Park,Mountain,high,Jan-Mar,"safari, culture, nightlife, skiing"
Maryland,Lesotho,Linda Freeway Tower,Mountain,high,Jan-Mar,"yoga, food"
Connecticut,Jersey,Peterson Ridges Park,Beach,luxury,June-Aug,"yoga, temple visit, surfing, wildlife"
Rhode Island,Madagascar,Vaughn Corners Bay,Historical,high,Sep-Nov,"surfing, food, shopping"
Karnataka,India,Hampi,Urban,high,June-Aug,"food, temple visit, yoga"
North Carolina,Gambia,Lori Brook Bay,Cultural,medium,Dec-Feb,"safari, skiing, trekking"
Mississippi,Sierra Leone,Carolyn Estate Park,Beach,low,Sep-Nov,"shopping, trekking, nightlife, technology"
North Dakota,Saint Pierre and Miquelon,Adams Place Beach,Beach,low,June-Aug,"safari, shopping"
West Virginia,Uzbekistan,Watts Motorway Temple,Historical,low,Sep-Nov,"food, surfing, yoga"
Tamil Nadu,India,Ooty,Cultural,high,Jan-Mar,"safari, nightlife, culture"
Louisiana,Greece,Taylor Haven Bay,Adventure,low,Dec-Feb,"shopping, culture, trekking"
Delhi,India,India Gate,Desert,low,June-Aug,"food, culture, surfing, technology"
Iowa,Wallis and Futuna,Nicholas Oval Bay,Beach,medium,June-Aug,"food, temple visit, nightlife"
Rhode Island,Botswana,Morrison Burg Fort,Cultural,low,Jan-Mar,"shopping, trekking, relaxing"
New Jersey,Korea,Robinson Field Fort,Urban,high,Dec-Feb,"temple visit, surfing, shopping"
Himachal Pradesh,India,Rohtang Pass,Adventure,high,Sep-Nov,"food, trekking"
South Carolina,Nicaragua,Hardin Points Bay,Cultural,low,Sep-Nov,"temple visit, nightlife"
Ladakh,India,Pangong Lake,Adventure,medium,Mar-May,"food, shopping"
Himachal Pradesh,India,Rohtang Pass,Mountain,low,June-Aug,"wildlife, yoga, shopping"
Maharashtra,India,Gateway of India,Mountain,high,Sep-Nov,"yoga, shopping, nightlife, surfing"
Hawaii,Albania,Brian Inlet Bay,Urban,medium,Dec-Feb,"skiing, safari, technology"
Arizona,Azerbaijan,Norris Mountain Tower,Desert,high,Jan-Mar,"culture, yoga, relaxing"
Kentucky,Congo,Torres Way Bay,Beach,high,Mar-May,"temple visit, surfing, nightlife, relaxing"
California,Benin,Berger Turnpike Temple,Urban,luxury,June-Aug,"nightlife, surfing, yoga"
West Virginia,Micronesia,Steven Cliff Fort,Adventure,medium,June-Aug,"trekking, nightlife"
Utah,Mali,Jeffery Lights Park,Historical,medium,June-Aug,"skiing, safari, nightlife"
New Mexico,Comoros,Pamela Cape Park,Historical,luxury,Dec-Feb,"safari, food"
New Hampshire,Trinidad and Tobago,Williams Crest Tower,Beach,low,Mar-May,"nightlife, yoga"
Wisconsin,Macao,Morgan Cliff Tower,Adventure,high,June-Aug,"yoga, relaxing"
North Dakota,Maldives,Robert Greens Temple,Urban,low,Mar-May,"temple visit, shopping, trekking"
Kentucky,Qatar,Pratt Shoals Bay,Historical,low,Dec-Feb,"nightlife, technology"
Hawaii,Saint Kitts and Nevis,Baker Landing Temple,Cultural,luxury,June-Aug,"technology, skiing"
Connecticut,Portugal,Rachel Shore Temple,Mountain,medium,Dec-Feb,"relaxing, temple visit, nightlife, food"
Virginia,Pitcairn Islands,Amanda Flat Beach,Adventure,high,Jan-Mar,"technology, temple visit, food"
Utah,Hong Kong,Bailey Village Park,Adventure,medium,Jan-Mar,"trekking, shopping"
New Hampshire,Zambia,Michelle Flat Bay,Mountain,luxury,Dec-Feb,"nightlife, food"
New Jersey,Cameroon,Sandra Vista Park,Beach,high,June-Aug,"relaxing, skiing, surfing"
Minnesota,Nigeria,Mia Track Tower,Desert,medium,Jan-Mar,"technology, nightlife, safari, food"
Maryland,Bosnia and Herzegovina,Dickerson Corner Park,Historical,luxury,June-Aug,"temple visit, trekking"
New York,China,Emily Camp Bay,Cultural,medium,Mar-May,"shopping, culture, temple visit, nightlife"
Nebraska,Reunion,Lee Park Fort,Urban,medium,Sep-Nov,"nightlife, culture, temple visit, surfing"
Idaho,Brunei Darussalam,Christopher Unions Tower,Historical,low,Sep-Nov,"skiing, relaxing, trekking, culture"
Ladakh,India,Pangong Lake,Desert,low,Jan-Mar,"safari, food, temple visit, wildlife"
Maine,Canada,Perez Ramp Beach,Historical,high,Dec-Feb,"yoga, temple visit, food"
Pennsylvania,Croatia,Martinez Street Bay,Urban,high,Mar-May,"surfing, food"
Karnataka,India,Mysore Palace,Mountain,low,Dec-Feb,"yoga, wildlife"
Delhi,India,Qutub Minar,Adventure,high,Jan-Mar,"food, skiing"
Iowa,Bosnia and Herzegovina,Young Inlet Bay,Urban,medium,June-Aug,"shopping, yoga"
Florida,Isle of Man,Mark Causeway Fort,Mountain,medium,Jan-Mar,"nightlife, wildlife"
South Dakota,Denmark,Li Prairie Fort,Urban,low,June-Aug,"wildlife, shopping, temple visit"
New Jersey,Gambia,Bennett Neck Tower,Mountain,medium,Mar-May,"safari, temple visit, relaxing, trekking"
Nebraska,British Indian Ocean Territory (Chagos Archipelago),Andrew Roads Fort,Cultural,luxury,Jan-Mar,"yoga, nightlife, surfing, shopping"
Maharashtra,India,Gateway of India,Historical,medium,June-Aug,"food, skiing"
Maharashtra,India,Ajanta Caves,Cultural,low,Dec-Feb,"trekking, temple visit, surfing, wildlife"
Rhode Island,Greece,Christy Hill Temple,Cultural,low,Dec-Feb,"shopping, trekking"
Montana,Malaysia,Susan Squares Tower,Desert,high,Dec-Feb,"technology, safari"
New Jersey,New Caledonia,Kevin Stream Fort,Adventure,luxury,Dec-Feb,"yoga, safari, technology"
Hawaii,Antarctica (the territory South of 60 deg S),Moore Isle Tower,Cultural,medium,Sep-Nov,"nightlife, skiing"
Karnataka,India,Mysore Palace,Historical,high,Sep-Nov,"culture, food"
North Carolina,Tonga,Randall Alley Temple,Historical,luxury,Jan-Mar,"culture, shopping"
Minnesota,Tajikistan,Tina Ranch Beach,Urban,low,Dec-Feb,"wildlife, skiing, yoga, shopping"
Maharashtra,India,Gateway of India,Cultural,high,Jan-Mar,"nightlife, food, culture"
Kansas,Cote d'Ivoire,Smith Mills Beach,Historical,luxury,Dec-Feb,"temple visit, shopping, relaxing, technology"
Goa,India,Dudhsagar Falls,Beach,luxury,Mar-May,"surfing, wildlife"
Wisconsin,Tunisia,Wells Summit Bay,Beach,luxury,Sep-Nov,"technology, shopping, trekking, skiing"
Maryland,Hungary,Scott Plains Fort,Mountain,low,Sep-Nov,"shopping, wildlife, trekking"
New York,Belarus,Gloria Falls Temple,Cultural,high,June-Aug,"surfing, temple visit, safari"
Alaska,Qatar,Parker Circles Tower,Urban,luxury,Jan-Mar,"surfing, culture"
South Carolina,Denmark,Michael Cliffs Fort,Cultural,low,Dec-Feb,"safari, surfing"
Pennsylvania,Swaziland,Chavez Motorway Temple,Cultural,luxury,June-Aug,"relaxing, culture, surfing"
Missouri,Netherlands,Oconnor Flats Park,Cultural,low,Dec-Feb,"surfing, shopping"
New Hampshire,Faroe Islands,Richard Knoll Fort,Adventure,luxury,Dec-Feb,"relaxing, nightlife, shopping, yoga"
Wyoming,Cuba,Roberts Road Tower,Urban,medium,Mar-May,"trekking, shopping"
Maharashtra,India,Ajanta Caves,Beach,medium,Jan-Mar,"skiing, nightlife, relaxing, shopping"
Maine,Albania,Christopher Prairie Tower,Desert,low,Sep-Nov,"trekking, food"
West Bengal,India,Victoria Memorial,Urban,luxury,June-Aug,"culture, technology"
Texas,Moldova,Smith Port Park,Beach,high,Dec-Feb,"technology, skiing, food"
Ladakh,India,Magnetic Hill,Historical,high,Jan-Mar,"relaxing, culture, technology, safari"
North Carolina,Czech Republic,Jenna Spur Tower,Mountain,low,June-Aug,"relaxing, temple visit, culture"
Arkansas,Trinidad and Tobago,Smith Heights Bay,Desert,medium,Sep-Nov,"food, temple visit, relaxing, safari"
