State,Country,Place,type,budget,season,activities
Hawaii,Bahrain,Jose Heights Beach,Desert,luxury,June-Aug,"wildlife, culture, nightlife, yoga"
Rajasthan,India,Hawa Mahal,Urban,luxury,Dec-Feb,"surfing, food"
Louisiana,Brunei Darussalam,Williams Row Tower,Mountain,medium,Sep-Nov,"shopping, skiing, culture, safari"
Delhi,India,Qutub Minar,Historical,luxury,Sep-Nov,"trekking, nightlife, temple visit"
Maine,Ecuador,White Stravenue Beach,Mountain,high,Jan-Mar,"culture, relaxing, nightlife"
Uttar Pradesh,India,Taj Mahal,Urban,low,Mar-May,"wildlife, skiing, shopping"
New York,Dominican Republic,James Via Beach,Urban,low,Mar-May,"safari, temple visit, trekking"
Oregon,Tanzania,Walton Estates Park,Adventure,medium,June-Aug,"relaxing, nightlife"
Colorado,Kuwait,Christopher Stravenue Tower,Historical,low,Dec-Feb,"safari, yoga"
Alabama,Greece,John Garden Bay,Historical,luxury,June-Aug,"safari, technology"
Ladakh,India,Pangong Lake,Mountain,luxury,Dec-Feb,"shopping, wildlife, skiing, food"
Rajasthan,India,Amber Fort,Beach,luxury,Jan-Mar,"yoga, trekking"
Himachal Pradesh,India,Solang Valley,Desert,luxury,Mar-May,"technology, surfing, shopping"
Mississippi,Swaziland,Schultz Villages Beach,Historical,luxury,June-Aug,"food, temple visit, surfing"
Karnataka,India,Mysore Palace,Beach,medium,Dec-Feb,"wildlife, shopping"
Tamil Nadu,India,Meenakshi Temple,Beach,medium,June-Aug,"temple visit, nightlife"
Maine,Bahamas,Lane Roads Tower,Cultural,medium,June-Aug,"nightlife, yoga, shopping, surfing"
West Virginia,Pitcairn Islands,Ramirez Fords Fort,Cultural,low,Sep-Nov,"technology, yoga, trekking"
Florida,Svalbard & Jan Mayen Islands,Fox Heights Beach,Beach,high,Mar-May,"shopping, food"
Arkansas,Bhutan,Chan Plains Tower,Desert,high,June-Aug,"skiing, yoga"
Connecticut,Congo,Brad Ridges Temple,Cultural,medium,Sep-Nov,"nightlife, safari"
Karnataka,India,Mysore Palace,Beach,luxury,June-Aug,"food, technology"
Indiana,Tuvalu,Justin Shores Fort,Adventure,medium,Sep-Nov,"technology, yoga, culture, temple visit"
Massachusetts,Australia,Collin Villages Fort,Cultural,low,Jan-Mar,"surfing, relaxing"
Maharashtra,India,Ajanta Caves,Cultural,luxury,Jan-Mar,"technology, temple visit"
Delaware,Guinea,Jason Rapid Temple,Cultural,high,Dec-Feb,"yoga, technology, food"
Kentucky,Egypt,Bryce Islands Tower,Mountain,luxury,Jan-Mar,"wildlife, relaxing"
Illinois,Seychelles,Andrew Spur Bay,Desert,low,Dec-Feb,"food, safari, yoga"
Ohio,Kazakhstan,Charles Crescent Park,Desert,luxury,Sep-Nov,"trekking, food, technology, skiing"
Texas,Kuwait,Benjamin Valleys Fort,Historical,luxury,Dec-Feb,"yoga, temple visit, shopping"
North Carolina,Azerbaijan,Barajas Locks Beach,Cultural,low,Jan-Mar,"technology, safari, skiing"
Illinois,Yemen,James Points Fort,Beach,medium,June-Aug,"yoga, culture"
New Mexico,Afghanistan,Rivers Ridges Park,Mountain,low,Mar-May,"technology, culture, skiing"
West Virginia,Peru,Nguyen Island Bay,Urban,high,Jan-Mar,"yoga, skiing, culture, safari"
North Carolina,Ethiopia,Kathleen Rapid Park,Mountain,high,Jan-Mar,"relaxing, safari, wildlife, food"
West Bengal,India,Victoria Memorial,Cultural,medium,June-Aug,"yoga, skiing, surfing, technology"
Idaho,Cook Islands,Hancock Green Tower,Cultural,low,Mar-May,"technology, temple visit"
Vermont,Netherlands Antilles,Andrea Island Fort,Desert,high,June-Aug,"culture, shopping, surfing"
Connecticut,Greece,Michael Overpass Beach,Cultural,high,Jan-Mar,"temple visit, yoga"
New Hampshire,Norway,Ashley Village Park,Adventure,high,Mar-May,"yoga, technology"
Louisiana,Venezuela,Jessica Stravenue Temple,Urban,low,Mar-May,"skiing, surfing"
Utah,Guyana,Scott Mews Fort,Desert,luxury,Jan-Mar,"relaxing, nightlife, wildlife"
Texas,Slovenia,Holt Plains Temple,Adventure,medium,Mar-May,"food, relaxing, safari"
Kerala,India,Alleppey Backwaters,Mountain,medium,Sep-Nov,"wildlife, surfing, relaxing"
Oregon,Bosnia and Herzegovina,Robinson Cove Tower,Adventure,low,Mar-May,"food, safari, culture"
North Dakota,Liberia,Joseph Fields Park,Urban,high,Jan-Mar,"shopping, wildlife"
Rajasthan,India,Hawa Mahal,Cultural,medium,June-Aug,"yoga, food, shopping, trekking"
Pennsylvania,Andorra,Joseph Ways Fort,Desert,low,June-Aug,"temple visit, technology"
Goa,India,Dudhsagar Falls,Mountain,high,June-Aug,"safari, surfing"
Oklahoma,Saint Lucia,Leon Cove Temple,Desert,medium,June-Aug,"nightlife, wildlife, culture"
West Bengal,India,Sundarbans,Urban,high,Sep-Nov,"nightlife, surfing"
Missouri,Holy See (Vatican City State),Rachel Creek Bay,Historical,high,Dec-Feb,"shopping, culture"
Florida,Argentina,Jacob Hollow Park,Historical,luxury,Sep-Nov,"wildlife, technology, temple visit"
Maine,Heard Island and McDonald Islands,Allison Club Bay,Mountain,luxury,Sep-Nov,"surfing, technology"
Colorado,Kyrgyz Republic,Holmes Keys Bay,Beach,medium,Jan-Mar,"technology, yoga"
Tennessee,Aruba,Christopher Forest Park,Urban,luxury,Mar-May,"technology, skiing"
Ladakh,India,Pangong Lake,Mountain,low,Mar-May,"technology, nightlife, culture"
Maryland,Argentina,Lane Loop Bay,Beach,medium,Jan-Mar,"culture, relaxing, nightlife"
Maryland,Bulgaria,Haley Lodge Park,Mountain,low,Sep-Nov,"nightlife, safari"
Pennsylvania,Tanzania,Emily Pass Fort,Historical,high,Dec-Feb,"technology, culture, food, safari"
Tennessee,Samoa,James Lake Bay,Historical,low,June-Aug,"relaxing, temple visit"
South Carolina,Guinea,Wright Crest Temple,Cultural,low,Mar-May,"temple visit, safari, surfing"
Indiana,New Caledonia,Stanley Lake Tower,Urban,medium,Dec-Feb,"skiing, food"
Hawaii,Tanzania,Roger Garden Fort,Desert,medium,Mar-May,"yoga, trekking, temple visit, shopping"
West Virginia,Togo,Patel Plaza Fort,Beach,luxury,Mar-May,"surfing, temple visit, wildlife"
Karnataka,India,Mysore Palace,Urban,high,Sep-Nov,"skiing, trekking, relaxing, yoga"
Himachal Pradesh,India,Rohtang Pass,Historical,medium,Mar-May,"wildlife, safari, trekking, shopping"
New Mexico,Zambia,Lisa Creek Fort,Beach,high,June-Aug,"relaxing, safari, nightlife, food"
California,Anguilla,Brown Stream Fort,Adventure,luxury,Jan-Mar,"shopping, surfing"
Illinois,Russian Federation,Gill Trafficway Temple,Mountain,low,Jan-Mar,"surfing, relaxing"
Massachusetts,Panama,Orozco Curve Fort,Beach,luxury,Jan-Mar,"trekking, food, technology, nightlife"
South Carolina,Bermuda,Dakota Unions Fort,Historical,high,Dec-Feb,"shopping, wildlife, technology, trekking"
Mississippi,Bosnia and Herzegovina,Bean Drive Bay,Beach,low,Dec-Feb,"food, skiing, surfing, yoga"
Florida,Korea,Ashley Fords Bay,Cultural,medium,Dec-Feb,"technology, nightlife, temple visit"
Rajasthan,India,Amber Fort,Mountain,high,Dec-Feb,"relaxing, temple visit, yoga, skiing"
California,Montenegro,Shannon Camp Tower,Desert,medium,June-Aug,"technology, temple visit, trekking"
Alaska,Dominica,Sarah Lodge Fort,Mountain,medium,June-Aug,"shopping, trekking, safari"
Rajasthan,India,Hawa Mahal,Desert,low,Sep-Nov,"culture, nightlife, temple visit, relaxing"
Pennsylvania,Monaco,Justin Estates Park,Desert,luxury,Mar-May,"safari, temple visit, food, skiing"
Tamil Nadu,India,Meenakshi Temple,Adventure,luxury,June-Aug,"nightlife, food"
Ohio,Palestinian Territory,Steven Forge Temple,Cultural,medium,June-Aug,"surfing, relaxing, safari, skiing"
Uttar Pradesh,India,Varanasi Ghats,Historical,medium,Dec-Feb,"skiing, yoga, food"
California,Sri Lanka,Hoover Falls Fort,Mountain,medium,Sep-Nov,"yoga, culture"
Maharashtra,India,Gateway of India,Cultural,high,Sep-Nov,"temple visit, culture, technology, nightlife"
Indiana,Timor-Leste,Wilson Isle Tower,Desert,medium,Jan-Mar,"yoga, culture, nightlife, skiing"
Hawaii,Burkina Faso,Steven Highway Temple,Beach,medium,June-Aug,"skiing, culture, safari"
Alaska,Sri Lanka,Brown Trail Park,Cultural,low,Mar-May,"relaxing, culture"
Nevada,Somalia,Johnson Underpass Bay,Cultural,high,Jan-Mar,"food, yoga"
Tamil Nadu,India,Meenakshi Temple,Desert,medium,Sep-Nov,"skiing, safari"
Connecticut,Aruba,Coleman Springs Fort,Adventure,luxury,Sep-Nov,"technology, safari, trekking"
Oregon,Mayotte,Carter Well Tower,Cultural,high,June-Aug,"relaxing, shopping"
Kerala,India,Munnar Tea Gardens,Beach,low,Sep-Nov,"yoga, skiing, trekking, shopping"
Rajasthan,India,Hawa Mahal,Mountain,low,Dec-Feb,"technology, shopping"
Kansas,Algeria,Elizabeth Tunnel Bay,Beach,low,Jan-Mar,"skiing, yoga, culture, relaxing"
Maharashtra,India,Ajanta Caves,Mountain,luxury,June-Aug,"relaxing, technology"
Michigan,Swaziland,Walker Mission Temple,Adventure,luxury,Dec-Feb,"food, safari, shopping"
Minnesota,Mauritania,Kelly Tunnel Temple,Cultural,medium,Mar-May,"shopping, culture, yoga, surfing"
Kentucky,Guam,Marcus Groves Temple,Mountain,high,Jan-Mar,"safari, nightlife, trekking, relaxing"
Uttarakhand,India,Rishikesh,Historical,luxury,June-Aug,"wildlife, culture"
Tamil Nadu,India,Meenakshi Temple,Adventure,medium,Sep-Nov,"skiing, shopping, relaxing"
Tamil Nadu,India,Meenakshi Temple,Desert,medium,Sep-Nov,"relaxing, surfing, food, safari"
Oregon,Nepal,Amanda Grove Temple,Beach,medium,Sep-Nov,"relaxing, temple visit"
Uttarakhand,India,Rishikesh,Desert,luxury,Mar-May,"skiing, nightlife, wildlife, relaxing"
New York,Cote d'Ivoire,Debra Prairie Fort,Desert,luxury,Dec-Feb,"skiing, relaxing"
Goa,India,Dudhsagar Falls,Desert,high,Jan-Mar,"wildlife, safari, surfing"
Massachusetts,Honduras,Roberts Way Bay,Adventure,luxury,June-Aug,"yoga, trekking, wildlife, skiing"
Uttar Pradesh,India,Varanasi Ghats,Desert,high,Jan-Mar,"food, yoga, culture"
Texas,Colombia,Brian Pines Tower,Beach,medium,Mar-May,"food, culture, nightlife"
Goa,India,Baga Beach,Beach,low,Jan-Mar,"nightlife, wildlife"
New Mexico,Ecuador,Michael Neck Park,Desert,luxury,June-Aug,"food, surfing, temple visit"
Montana,Brunei Darussalam,Scott Springs Tower,Urban,medium,June-Aug,"trekking, yoga"
Texas,Jersey,Murray Overpass Park,Urban,low,Mar-May,"technology, surfing, food, nightlife"
North Dakota,Svalbard & Jan Mayen Islands,Amy Pike Beach,Beach,luxury,June-Aug,"wildlife, technology"
Wisconsin,Madagascar,Sandra Glen Temple,Historical,medium,Jan-Mar,"shopping, temple visit, safari, technology"
West Bengal,India,Sundarbans,Beach,high,Sep-Nov,"wildlife, culture, technology"
Maryland,Palau,Martin Plain Tower,Adventure,high,Mar-May,"yoga, culture"
Colorado,Qatar,Russo Stravenue Tower,Desert,low,Sep-Nov,"skiing, culture, safari"
Idaho,Trinidad and Tobago,Orr Loop Tower,Adventure,high,Mar-May,"skiing, food"
New Hampshire,Belarus,Francis Squares Fort,Desert,low,Mar-May,"food, culture, relaxing, shopping"
Illinois,Niue,Smith Skyway Bay,Beach,medium,Mar-May,"relaxing, culture, trekking, wildlife"
Minnesota,Hong Kong,Abigail Plain Bay,Urban,high,Dec-Feb,"nightlife, wildlife"
Minnesota,Antarctica (the territory South of 60 deg S),Pierce Forge Tower,Beach,medium,Mar-May,"yoga, skiing, temple visit"
Delhi,India,Qutub Minar,Adventure,luxury,Jan-Mar,"relaxing, trekking"
California,Papua New Guinea,Sarah Harbors Fort,Desert,low,Sep-Nov,"safari, wildlife, surfing"
New York,Cyprus,Tony Field Park,Mountain,luxury,Mar-May,"technology, surfing"
North Carolina,Thailand,Julia Keys Fort,Mountain,luxury,June-Aug,"culture, temple visit, safari, nightlife"
Maharashtra,India,Ajanta Caves,Cultural,medium,Dec-Feb,"wildlife, surfing, skiing, culture"
North Carolina,Malawi,Hancock Plains Tower,Desert,luxury,Dec-Feb,"wildlife, surfing"
Kansas,Cyprus,Kane Lane Beach,Desert,luxury,Dec-Feb,"trekking, wildlife, food, surfing"
Pennsylvania,Malaysia,Irwin Mills Tower,Beach,medium,Jan-Mar,"food, skiing, nightlife, relaxing"
Hawaii,Montserrat,Hernandez Harbors Fort,Adventure,low,Dec-Feb,"technology, shopping, food"
Nebraska,Holy See (Vatican City State),Andersen Turnpike Fort,Mountain,low,Dec-Feb,"food, relaxing"
West Virginia,Armenia,Lawrence Loop Tower,Historical,luxury,Jan-Mar,"relaxing, skiing, nightlife, yoga"
New Jersey,Sweden,Dawn Branch Tower,Historical,high,Sep-Nov,"wildlife, trekking, food, shopping"
Ladakh,India,Pangong Lake,Cultural,luxury,June-Aug,"yoga, food, nightlife"
Maharashtra,India,Ajanta Caves,Historical,medium,Sep-Nov,"surfing, trekking"
Maharashtra,India,Gateway of India,Historical,low,Dec-Feb,"yoga, wildlife, relaxing"
Tamil Nadu,India,Meenakshi Temple,Historical,low,Sep-Nov,"culture, skiing, relaxing"
Hawaii,Antarctica (the territory South of 60 deg S),Garrett Trafficway Beach,Cultural,low,Dec-Feb,"technology, relaxing, skiing"
Florida,Norfolk Island,Olson Plaza Temple,Historical,low,June-Aug,"relaxing, yoga, safari, technology"
Tennessee,Latvia,Welch Vista Park,Cultural,medium,Jan-Mar,"nightlife, relaxing, surfing, culture"
Virginia,Egypt,Wilkinson Mountain Park,Mountain,luxury,Dec-Feb,"safari, wildlife"
Nevada,Macao,Barrett Gardens Temple,Adventure,low,Jan-Mar,"nightlife, culture, food"
Pennsylvania,Malawi,Sanders Camp Beach,Mountain,luxury,Dec-Feb,"surfing, temple visit, shopping, skiing"
Goa,India,Dudhsagar Falls,Historical,low,Dec-Feb,"surfing, relaxing, wildlife"
Himachal Pradesh,India,Solang Valley,Beach,medium,Sep-Nov,"temple visit, trekking, safari"
Michigan,Tajikistan,Schultz Circles Tower,Cultural,medium,Jan-Mar,"surfing, shopping, skiing"
Florida,Cameroon,Jared Prairie Temple,Mountain,high,Jan-Mar,"relaxing, nightlife"
Massachusetts,United States Virgin Islands,Clark Springs Bay,Urban,low,Mar-May,"culture, yoga, shopping"
Maine,Kiribati,Lopez Corner Temple,Historical,high,Sep-Nov,"culture, nightlife, food, temple visit"
Colorado,French Polynesia,Weber Forge Fort,Desert,high,Jan-Mar,"wildlife, technology, temple visit, yoga"
Maharashtra,India,Ajanta Caves,Urban,medium,June-Aug,"shopping, yoga, trekking"
California,Haiti,Smith Glen Park,Historical,high,Mar-May,"culture, yoga"
Delaware,Uganda,Henderson Club Beach,Urban,medium,Dec-Feb,"trekking, surfing, nightlife, safari"
Louisiana,Malawi,Russo Turnpike Fort,Beach,luxury,Sep-Nov,"technology, wildlife, shopping"
Florida,Greenland,Danny Flats Beach,Urban,low,Jan-Mar,"wildlife, nightlife"
Connecticut,Cote d'Ivoire,Maria Village Park,Adventure,low,June-Aug,"surfing, trekking, technology"
Alabama,Denmark,Casey Wells Bay,Desert,high,Sep-Nov,"wildlife, yoga, relaxing"
North Dakota,Bosnia and Herzegovina,Susan Ferry Beach,Cultural,high,June-Aug,"skiing, trekking, culture, nightlife"
Connecticut,Belarus,Michael Estates Temple,Mountain,high,Sep-Nov,"nightlife, surfing"
Washington,Turks and Caicos Islands,Williams Pines Tower,Desert,medium,Jan-Mar,"yoga, temple visit, safari"
Massachusetts,Uruguay,Castillo Terrace Beach,Urban,medium,Dec-Feb,"culture, temple visit, shopping"
Michigan,Portugal,Hunt Radial Fort,Urban,low,Mar-May,"wildlife, trekking, surfing"
Tamil Nadu,India,Ooty,Mountain,low,Sep-Nov,"wildlife, safari"
Uttar Pradesh,India,Taj Mahal,Cultural,low,June-Aug,"trekking, yoga"
Wisconsin,Slovenia,Tonya Station Beach,Beach,high,Dec-Feb,"trekking, nightlife"
Louisiana,Sri Lanka,Douglas Station Beach,Adventure,high,June-Aug,"relaxing, trekking"
Wyoming,Holy See (Vatican City State),Smith Run Fort,Beach,luxury,Mar-May,"food, culture, trekking, relaxing"
Florida,Cape Verde,Christy Alley Fort,Historical,medium,Dec-Feb,"trekking, safari, skiing, culture"
Hawaii,Samoa,Key Motorway Park,Beach,high,Dec-Feb,"culture, trekking, surfing, food"
New Jersey,Congo,Cooper Circle Bay,Beach,high,Dec-Feb,"nightlife, technology, shopping, food"
Arizona,Faroe Islands,Austin Prairie Park,Adventure,high,Mar-May,"food, relaxing"
Nebraska,Bermuda,Clark Fall Fort,Desert,high,June-Aug,"temple visit, surfing, technology"
Florida,Iceland,Adams Isle Park,Desert,low,Mar-May,"surfing, nightlife"
Tamil Nadu,India,Ooty,Desert,high,June-Aug,"yoga, surfing, technology"
Michigan,South Georgia and the South Sandwich Islands,Harris Square Park,Historical,high,Mar-May,"relaxing, technology, safari"
Arkansas,Mauritius,Penny Expressway Temple,Urban,luxury,June-Aug,"yoga, safari, technology, shopping"
Alaska,Bosnia and Herzegovina,Lucas Drives Bay,Historical,luxury,Mar-May,"trekking, surfing, temple visit"
Alaska,Guadeloupe,Chris Drive Beach,Mountain,luxury,Dec-Feb,"food, relaxing, safari, temple visit"
Delhi,India,Qutub Minar,Desert,medium,June-Aug,"safari, wildlife"
Delhi,India,Qutub Minar,Desert,luxury,Sep-Nov,"yoga, wildlife"
Wyoming,Samoa,Michelle Lodge Beach,Cultural,luxury,Sep-Nov,"culture, shopping, surfing"
Kerala,India,Alleppey Backwaters,Urban,high,Mar-May,"relaxing, trekking, safari"
South Carolina,Kenya,Leach Garden Bay,Historical,luxury,June-Aug,"skiing, nightlife"
Himachal Pradesh,India,Rohtang Pass,Urban,medium,June-Aug,"yoga, nightlife, surfing, skiing"
Kerala,India,Munnar Tea Gardens,Historical,low,Dec-Feb,"skiing, food, nightlife"
Massachusetts,Sri Lanka,Santos Turnpike Temple,Mountain,high,Dec-Feb,"wildlife, shopping, temple visit, relaxing"
Connecticut,Palau,Holt Ramp Beach,Historical,luxury,Dec-Feb,"relaxing, shopping, yoga, surfing"
New York,Saint Lucia,Lee Forks Tower,Historical,medium,Dec-Feb,"skiing, nightlife, surfing, culture"
Nebraska,Northern Mariana Islands,Peterson Corner Tower,Mountain,low,Dec-Feb,"relaxing, safari"
Ladakh,India,Pangong Lake,Mountain,luxury,Sep-Nov,"culture, trekking, wildlife"
Oklahoma,South Africa,Charles Motorway Beach,Cultural,low,Jan-Mar,"nightlife, technology, safari"
Colorado,Turks and Caicos Islands,Schaefer Hill Fort,Adventure,luxury,Dec-Feb,"yoga, skiing, food"
Karnataka,India,Hampi,Mountain,luxury,Dec-Feb,"temple visit, technology"
Himachal Pradesh,India,Solang Valley,Desert,low,Dec-Feb,"shopping, culture, nightlife, trekking"
Ohio,Cameroon,Morgan Gateway Fort,Cultural,high,Mar-May,"food, temple visit, safari, nightlife"
North Dakota,Mozambique,Mejia Haven Fort,Cultural,high,June-Aug,"trekking, safari"
South Dakota,Korea,Steven Route Tower,Mountain,high,June-Aug,"trekking, yoga, culture, skiing"
Virginia,Saint Martin,Peterson Parks Beach,Desert,luxury,June-Aug,"wildlife, yoga, surfing"
Delhi,India,India Gate,Urban,low,Dec-Feb,"nightlife, safari, food, shopping"
Mississippi,Timor-Leste,John Lakes Fort,Cultural,high,Sep-Nov,"relaxing, yoga, trekking"
Texas,Macedonia,Richards Canyon Beach,Beach,high,June-Aug,"shopping, temple visit, safari, skiing"
Kentucky,Trinidad and Tobago,Vasquez Key Bay,Urban,high,June-Aug,"trekking, relaxing, skiing, food"
Uttar Pradesh,India,Varanasi Ghats,Adventure,high,Sep-Nov,"relaxing, shopping, safari"
Georgia,Gibraltar,Adams Crest Beach,Desert,medium,Mar-May,"culture, yoga"
Mississippi,Cyprus,Christopher Fields Temple,Beach,medium,Jan-Mar,"skiing, trekking, relaxing, temple visit"
Mississippi,Finland,Brandon Crescent Fort,Beach,medium,Jan-Mar,"relaxing, food, shopping"
South Carolina,Congo,Joseph Trail Park,Urban,high,Jan-Mar,"temple visit, culture"
Kentucky,Qatar,Cabrera Throughway Beach,Beach,low,Sep-Nov,"surfing, shopping, relaxing, nightlife"
North Dakota,San Marino,Matthew Square Temple,Adventure,medium,Jan-Mar,"trekking, food, safari, nightlife"
Kerala,India,Alleppey Backwaters,Beach,high,Jan-Mar,"trekking, culture"
Texas,Turkmenistan,Adams Mission Fort,Beach,medium,Sep-Nov,"safari, trekking, wildlife, relaxing"
Tamil Nadu,India,Meenakshi Temple,Adventure,luxury,Sep-Nov,"technology, relaxing, temple visit, culture"
New York,Taiwan,Michelle Shoals Fort,Historical,low,Mar-May,"wildlife, technology, food, surfing"
Tamil Nadu,India,Ooty,Cultural,medium,Sep-Nov,"trekking, nightlife"
West Virginia,Marshall Islands,Kathy Glens Beach,Mountain,medium,Jan-Mar,"trekking, temple visit"
North Dakota,Moldova,Linda Port Park,Urban,medium,June-Aug,"yoga, surfing"
Colorado,Papua New Guinea,Ramirez Ranch Bay,Desert,high,Sep-Nov,"shopping, wildlife, food, relaxing"
Hawaii,Barbados,Jessica Glens Park,Desert,luxury,Jan-Mar,"nightlife, wildlife"
Arizona,Saint Helena,Julie Knoll Bay,Urban,high,Jan-Mar,"technology, surfing, shopping, yoga"
Maine,Slovenia,Berry Flats Temple,Beach,low,Dec-Feb,"yoga, trekking, culture"
Alabama,Bahamas,Erin Row Beach,Beach,high,June-Aug,"temple visit, trekking, relaxing"
Texas,Nigeria,Davis Rue Fort,Desert,medium,Mar-May,"temple visit, food"
Hawaii,Luxembourg,Christopher Prairie Temple,Urban,luxury,June-Aug,"skiing, yoga, technology, temple visit"
Florida,Guadeloupe,Frazier Park Fort,Mountain,high,Sep-Nov,"relaxing, culture"
Utah,Palestinian Territory,Christopher Green Tower,Urban,medium,Mar-May,"nightlife, culture"
Ladakh,India,Magnetic Hill,Historical,low,Sep-Nov,"skiing, safari"
North Dakota,Faroe Islands,Carla Way Beach,Cultural,low,Sep-Nov,"shopping, technology, food"
Tamil Nadu,India,Meenakshi Temple,Urban,high,Mar-May,"skiing, safari, trekking, temple visit"
Maharashtra,India,Ajanta Caves,Cultural,low,June-Aug,"nightlife, culture"
North Carolina,Palau,Jones Vista Fort,Historical,luxury,Mar-May,"surfing, shopping"
Georgia,Fiji,Ashley Burgs Fort,Beach,medium,Dec-Feb,"yoga, technology, trekking, temple visit"
New Mexico,Venezuela,Barker Valleys Temple,Historical,medium,Dec-Feb,"safari, yoga"
Himachal Pradesh,India,Rohtang Pass,Historical,high,Sep-Nov,"safari, culture, yoga"
Tamil Nadu,India,Meenakshi Temple,Cultural,high,Mar-May,"yoga, wildlife, nightlife, shopping"
Utah,Sierra Leone,Gibson Island Beach,Desert,high,Sep-Nov,"culture, safari"
Kerala,India,Munnar Tea Gardens,Urban,high,Jan-Mar,"trekking, surfing, safari"
Colorado,Austria,Jonathan Shoals Beach,Beach,luxury,Sep-Nov,"surfing, shopping, yoga"
Delhi,India,India Gate,Mountain,medium,June-Aug,"yoga, nightlife, skiing"
Montana,Bahamas,Benjamin Locks Tower,Historical,high,Mar-May,"nightlife, food, trekking, surfing"
Utah,Morocco,Lynch Square Park,Mountain,luxury,Dec-Feb,"surfing, culture, trekking"
Himachal Pradesh,India,Solang Valley,Mountain,luxury,Mar-May,"wildlife, shopping, yoga"
Arkansas,Poland,Brady Ranch Beach,Historical,low,Mar-May,"food, skiing"
Ladakh,India,Magnetic Hill,Urban,low,Sep-Nov,"wildlife, yoga, culture"
Uttar Pradesh,India,Taj Mahal,Beach,low,Dec-Feb,"technology, food, safari, nightlife"
Karnataka,India,Hampi,Mountain,luxury,June-Aug,"culture, wildlife"
Kentucky,Haiti,Laura Summit Bay,Beach,medium,Mar-May,"shopping, surfing, safari"
Himachal Pradesh,India,Rohtang Pass,Mountain,low,June-Aug,"technology, temple visit, surfing"
Illinois,Serbia,Crawford Light Park,Adventure,high,Dec-Feb,"shopping, temple visit, trekking, skiing"
Wyoming,Trinidad and Tobago,Andrews Place Bay,Urban,medium,June-Aug,"culture, nightlife, temple visit, wildlife"
Illinois,Venezuela,Steven Spurs Beach,Beach,high,June-Aug,"trekking, yoga, food, technology"
