State,Country,Place,type,budget,season,activities
Kentucky,Ethiopia,Kurt Ridges Temple,Mountain,high,Jan-Mar,"skiing, surfing, food, technology"
Uttar Pradesh,India,Varanasi Ghats,Urban,medium,Jan-Mar,"surfing, food, nightlife, safari"
Kerala,India,Munnar Tea Gardens,Mountain,high,Sep-Nov,"food, surfing, wildlife"
Oregon,Peru,Gary Junction Bay,Desert,high,Sep-Nov,"food, culture, yoga"
Hawaii,Palau,Wiley Spring Beach,Mountain,medium,Sep-Nov,"culture, temple visit, yoga, skiing"
New Jersey,Mexico,Payne Ridge Beach,Mountain,low,Jan-Mar,"wildlife, shopping"
Utah,Rwanda,Fields Isle Bay,Urban,high,Jan-Mar,"shopping, technology, nightlife"
North Carolina,Namibia,Williams Ports Beach,Urban,low,Mar-May,"yoga, food"
Mississippi,Mozambique,Sherri Ferry Park,Historical,luxury,Dec-Feb,"shopping, temple visit, wildlife, yoga"
New Mexico,Lao People's Democratic Republic,Bridges Tunnel Fort,Historical,medium,Sep-Nov,"yoga, trekking, relaxing, skiing"
Ohio,Philippines,Theresa Common Temple,Beach,high,Sep-Nov,"food, yoga, relaxing"
Maharashtra,India,Ajanta Caves,Adventure,low,Mar-May,"shopping, food, safari, trekking"
Himachal Pradesh,India,Rohtang Pass,Desert,luxury,Jan-Mar,"skiing, surfing, relaxing, temple visit"
Goa,India,Baga Beach,Adventure,luxury,Dec-Feb,"food, surfing"
Illinois,Niue,Smith Bridge Bay,Adventure,high,June-Aug,"temple visit, relaxing, technology, culture"
Kentucky,Qatar,Holloway Club Temple,Urban,high,Sep-Nov,"relaxing, trekking, nightlife, temple visit"
Illinois,Guam,Oliver Locks Fort,Cultural,low,Jan-Mar,"surfing, skiing, wildlife, technology"
California,Ghana,Katherine Mission Temple,Mountain,medium,Mar-May,"trekking, culture, food"
Vermont,Jersey,Mcdonald Square Bay,Adventure,luxury,Dec-Feb,"relaxing, safari"
Connecticut,Costa Rica,Matthew Loaf Fort,Urban,medium,Sep-Nov,"relaxing, wildlife"
Idaho,Libyan Arab Jamahiriya,Garner Knolls Bay,Mountain,medium,Mar-May,"trekking, surfing, nightlife, yoga"
Massachusetts,Japan,Smith Stream Tower,Historical,low,Mar-May,"surfing, shopping"
Uttar Pradesh,India,Taj Mahal,Adventure,low,June-Aug,"safari, relaxing, yoga, temple visit"
Arkansas,Egypt,Smith Roads Park,Adventure,medium,June-Aug,"yoga, food, safari, relaxing"
Illinois,Panama,Brian Mill Tower,Desert,medium,June-Aug,"yoga, wildlife"
West Bengal,India,Victoria Memorial,Mountain,high,Dec-Feb,"trekking, relaxing, wildlife, nightlife"
New York,Sao Tome and Principe,Amy Rest Bay,Desert,high,June-Aug,"shopping, nightlife, safari"
Oklahoma,Djibouti,James Harbor Park,Cultural,luxury,Jan-Mar,"skiing, technology"
Uttarakhand,India,Kedarnath,Adventure,low,Sep-Nov,"wildlife, technology, surfing, nightlife"
Iowa,Afghanistan,Williams Mountain Temple,Mountain,medium,June-Aug,"culture, skiing, safari"
Louisiana,Bahrain,Jonathan Extensions Park,Beach,medium,Jan-Mar,"skiing, trekking"
Rajasthan,India,Hawa Mahal,Beach,medium,Sep-Nov,"skiing, relaxing, trekking, nightlife"
Goa,India,Dudhsagar Falls,Desert,high,June-Aug,"technology, shopping"
West Bengal,India,Sundarbans,Beach,luxury,Mar-May,"nightlife, relaxing, culture"
Nevada,Botswana,Evan Union Park,Historical,high,Jan-Mar,"trekking, wildlife, culture, temple visit"
Delaware,Cayman Islands,Andre Walk Beach,Beach,medium,June-Aug,"skiing, surfing, shopping"
Massachusetts,Syrian Arab Republic,Cindy Road Park,Beach,high,June-Aug,"relaxing, yoga, shopping"
Delhi,India,Qutub Minar,Mountain,luxury,June-Aug,"shopping, safari, skiing, wildlife"
Delhi,India,India Gate,Beach,medium,Sep-Nov,"nightlife, skiing, safari, wildlife"
Himachal Pradesh,India,Rohtang Pass,Mountain,medium,Jan-Mar,"skiing, nightlife, temple visit"
North Carolina,Suriname,Patrick Coves Park,Urban,high,June-Aug,"surfing, temple visit, nightlife"
New Jersey,Burundi,Heidi Gardens Temple,Beach,high,June-Aug,"technology, culture, trekking, food"
Illinois,Thailand,Derrick Rapid Fort,Urban,luxury,Dec-Feb,"temple visit, relaxing, trekking"
Maharashtra,India,Ajanta Caves,Historical,luxury,Jan-Mar,"surfing, nightlife, trekking"
West Bengal,India,Victoria Memorial,Adventure,high,Dec-Feb,"wildlife, yoga, shopping"
Pennsylvania,Jordan,Holly Plains Temple,Cultural,luxury,June-Aug,"yoga, trekking, safari, relaxing"
Wyoming,Bahamas,Ochoa Inlet Park,Adventure,high,Dec-Feb,"skiing, food"
West Bengal,India,Victoria Memorial,Historical,high,Sep-Nov,"trekking, yoga, temple visit"
Kerala,India,Alleppey Backwaters,Beach,high,June-Aug,"nightlife, shopping, skiing"
Tamil Nadu,India,Ooty,Urban,luxury,Sep-Nov,"culture, trekking"
Tamil Nadu,India,Ooty,Beach,medium,Mar-May,"wildlife, temple visit, safari, skiing"
Illinois,Burkina Faso,Rowe Street Tower,Mountain,luxury,Mar-May,"food, surfing"
Karnataka,India,Mysore Palace,Cultural,luxury,Mar-May,"technology, safari, trekking, relaxing"
New Hampshire,Azerbaijan,Torres Wells Fort,Mountain,luxury,Jan-Mar,"food, shopping, surfing, yoga"
Louisiana,Korea,Regina Grove Beach,Beach,low,Sep-Nov,"culture, nightlife, skiing"
Minnesota,Hungary,Chelsea Common Park,Historical,low,Jan-Mar,"relaxing, safari, surfing, skiing"
Connecticut,Luxembourg,West Meadows Tower,Desert,low,Jan-Mar,"safari, trekking"
Utah,Syrian Arab Republic,Tina Freeway Park,Urban,luxury,Mar-May,"wildlife, food, technology"
Utah,Brazil,Richardson Junction Tower,Mountain,medium,Sep-Nov,"culture, food, yoga"
Goa,India,Baga Beach,Urban,medium,Mar-May,"safari, wildlife"
Missouri,Turks and Caicos Islands,Hansen Forge Beach,Mountain,low,Sep-Nov,"technology, culture, surfing"
New Jersey,Comoros,Simon Islands Temple,Historical,luxury,Dec-Feb,"food, skiing"
New Mexico,Afghanistan,Taylor Walks Fort,Cultural,high,June-Aug,"nightlife, food"
Georgia,Kyrgyz Republic,Marshall Unions Bay,Adventure,low,Jan-Mar,"shopping, skiing, relaxing, wildlife"
Utah,Andorra,Martin Port Fort,Beach,low,Mar-May,"temple visit, relaxing, skiing"
New Hampshire,Cameroon,Todd Center Park,Cultural,luxury,Jan-Mar,"nightlife, trekking, temple visit, technology"
North Dakota,Tokelau,Gary Pine Park,Desert,high,Mar-May,"nightlife, shopping, culture"
Rhode Island,Saint Kitts and Nevis,Morrow Manor Tower,Cultural,medium,Sep-Nov,"temple visit, surfing, trekking, food"
Rajasthan,India,Amber Fort,Beach,low,Mar-May,"nightlife, shopping, culture"
Alaska,Malta,Alexander Drive Park,Historical,low,Jan-Mar,"technology, nightlife, shopping, surfing"
Ohio,Wallis and Futuna,Doyle Summit Park,Mountain,high,Dec-Feb,"surfing, culture, nightlife, skiing"
Karnataka,India,Hampi,Mountain,medium,June-Aug,"relaxing, yoga, wildlife"
Connecticut,Turkmenistan,Guerrero Mill Beach,Beach,medium,June-Aug,"relaxing, food"
Nevada,Guernsey,William Junctions Beach,Mountain,luxury,Mar-May,"technology, skiing"
New Mexico,Mauritania,Sue Dam Tower,Cultural,low,Jan-Mar,"safari, temple visit, surfing, culture"
Karnataka,India,Mysore Palace,Desert,low,Mar-May,"trekking, skiing, culture"
Ohio,Ireland,Andrew Streets Tower,Urban,medium,Jan-Mar,"skiing, wildlife"
South Dakota,Equatorial Guinea,Joshua Tunnel Tower,Beach,medium,June-Aug,"safari, relaxing"
Maharashtra,India,Gateway of India,Beach,luxury,Mar-May,"culture, nightlife"
West Virginia,Thailand,Carolyn Throughway Beach,Urban,luxury,Mar-May,"shopping, wildlife"
Georgia,Samoa,Johnson Freeway Tower,Beach,luxury,June-Aug,"technology, temple visit, surfing, trekking"
North Dakota,Solomon Islands,Brittany Knolls Park,Historical,luxury,June-Aug,"yoga, surfing, wildlife, safari"
Utah,Cameroon,Justin Haven Fort,Beach,medium,Dec-Feb,"wildlife, nightlife"
New Hampshire,Cyprus,Christopher Branch Temple,Mountain,low,Jan-Mar,"skiing, surfing, wildlife"
Arizona,Hungary,Mcdaniel Shoal Bay,Mountain,low,June-Aug,"wildlife, temple visit, safari, yoga"
Kentucky,Bermuda,Roy Extensions Tower,Desert,low,Jan-Mar,"yoga, temple visit"
Rajasthan,India,Amber Fort,Adventure,high,Jan-Mar,"safari, trekking, food"
Vermont,Sweden,Michelle Fields Beach,Historical,medium,June-Aug,"culture, nightlife"
Arizona,Nicaragua,David Summit Fort,Mountain,low,Sep-Nov,"shopping, safari"
Louisiana,Sao Tome and Principe,Griffith Alley Temple,Beach,high,June-Aug,"skiing, wildlife"
Colorado,Equatorial Guinea,Dustin Cove Beach,Mountain,low,Dec-Feb,"skiing, safari, nightlife"
Idaho,Monaco,Richards Unions Fort,Beach,high,Mar-May,"food, skiing, trekking"
California,Libyan Arab Jamahiriya,Tracy Inlet Beach,Desert,low,Sep-Nov,"nightlife, skiing, surfing"
Tamil Nadu,India,Meenakshi Temple,Desert,luxury,Mar-May,"skiing, surfing, culture"
California,Belize,Love Trail Fort,Desert,luxury,June-Aug,"wildlife, trekking, temple visit"
Missouri,Paraguay,Moran Trail Temple,Mountain,high,Sep-Nov,"wildlife, surfing"
Uttar Pradesh,India,Varanasi Ghats,Adventure,medium,Jan-Mar,"temple visit, nightlife, wildlife, technology"
Rhode Island,Mauritius,Rivers Coves Park,Historical,high,Sep-Nov,"food, skiing, trekking"
Missouri,Equatorial Guinea,Jeremiah Track Beach,Desert,high,Dec-Feb,"nightlife, safari"
Montana,Taiwan,Erika Rue Bay,Beach,low,Mar-May,"wildlife, trekking, culture"
Massachusetts,Trinidad and Tobago,Mike Summit Beach,Desert,medium,Dec-Feb,"temple visit, nightlife, relaxing"
Arizona,Bahrain,Danielle Plains Temple,Adventure,medium,June-Aug,"surfing, trekking, yoga"
Delhi,India,Qutub Minar,Desert,luxury,June-Aug,"shopping, temple visit, technology"
Karnataka,India,Hampi,Cultural,low,Sep-Nov,"culture, trekking, skiing, yoga"
Karnataka,India,Mysore Palace,Beach,luxury,Mar-May,"wildlife, temple visit"
Goa,India,Baga Beach,Historical,low,June-Aug,"yoga, technology, safari, nightlife"
Louisiana,Montenegro,Ramos Drive Tower,Beach,medium,Mar-May,"trekking, relaxing"
South Dakota,Grenada,Glover Corners Temple,Urban,luxury,Dec-Feb,"skiing, surfing"
Uttarakhand,India,Rishikesh,Cultural,high,June-Aug,"safari, temple visit, wildlife, yoga"
Nebraska,Brunei Darussalam,Steven Land Temple,Adventure,luxury,Jan-Mar,"trekking, surfing"
New Mexico,Montserrat,Austin Isle Beach,Cultural,high,Dec-Feb,"relaxing, wildlife"
Indiana,Cayman Islands,Johnson Landing Temple,Mountain,luxury,Sep-Nov,"safari, wildlife, skiing, trekking"
New York,Poland,Jessica Well Bay,Urban,high,Sep-Nov,"culture, trekking, nightlife"
Utah,Samoa,Maria Islands Bay,Adventure,luxury,Sep-Nov,"surfing, trekking, temple visit"
Rajasthan,India,Amber Fort,Urban,low,June-Aug,"wildlife, temple visit, nightlife, safari"
Ladakh,India,Pangong Lake,Beach,luxury,Jan-Mar,"skiing, relaxing"
North Dakota,South Africa,Chan Springs Park,Mountain,low,Sep-Nov,"skiing, surfing, nightlife, safari"
West Bengal,India,Sundarbans,Adventure,medium,June-Aug,"safari, surfing, culture, shopping"
Uttarakhand,India,Kedarnath,Mountain,low,Jan-Mar,"culture, food, shopping"
Georgia,Saint Vincent and the Grenadines,Jackson Manor Tower,Historical,luxury,Mar-May,"yoga, trekking"
West Virginia,Saint Helena,George Lakes Bay,Mountain,low,June-Aug,"temple visit, culture, safari, nightlife"
New Jersey,Jordan,Melissa Grove Temple,Historical,luxury,Sep-Nov,"shopping, technology, skiing, wildlife"
Utah,British Virgin Islands,Alexis Knolls Park,Desert,high,June-Aug,"temple visit, skiing, safari"
South Dakota,Haiti,Emily Loop Tower,Mountain,high,Jan-Mar,"temple visit, technology, skiing"
Ohio,British Virgin Islands,Eric Spur Park,Cultural,medium,Sep-Nov,"food, wildlife, culture, yoga"
West Bengal,India,Sundarbans,Cultural,high,Mar-May,"wildlife, skiing, culture, nightlife"
Virginia,Switzerland,Nicholas Spurs Beach,Desert,luxury,June-Aug,"safari, technology, culture"
Florida,Italy,Taylor Street Temple,Mountain,low,June-Aug,"food, trekking, surfing, temple visit"
Ohio,French Polynesia,Cooper Union Park,Adventure,high,Mar-May,"skiing, safari, shopping, nightlife"
New York,Puerto Rico,Gordon Greens Bay,Mountain,low,Mar-May,"nightlife, yoga, relaxing, trekking"
Maine,Iceland,Deborah Garden Fort,Beach,low,Jan-Mar,"safari, culture, trekking, technology"
Tamil Nadu,India,Ooty,Historical,medium,Sep-Nov,"trekking, wildlife, yoga, shopping"
New Hampshire,Argentina,Benjamin Points Temple,Desert,low,Mar-May,"yoga, wildlife, nightlife"
Louisiana,Philippines,Holt Fords Temple,Historical,medium,Sep-Nov,"nightlife, skiing, relaxing"
Wisconsin,Timor-Leste,Campbell Locks Tower,Cultural,high,Mar-May,"trekking, yoga, food, shopping"
California,Pakistan,Torres Neck Tower,Mountain,high,Mar-May,"culture, relaxing, wildlife, shopping"
Himachal Pradesh,India,Solang Valley,Desert,low,Dec-Feb,"surfing, relaxing, trekking"
South Carolina,Iraq,Jimmy Crossing Bay,Adventure,low,June-Aug,"nightlife, trekking, shopping, wildlife"
Uttarakhand,India,Rishikesh,Urban,low,June-Aug,"wildlife, technology, temple visit, nightlife"
Minnesota,Fiji,Carey Fork Bay,Mountain,medium,June-Aug,"culture, food, technology, temple visit"
Utah,Anguilla,Jones Forge Park,Beach,low,Mar-May,"relaxing, safari"
New Hampshire,Mauritius,Maldonado Point Fort,Cultural,low,June-Aug,"food, skiing, culture"
Mississippi,Uzbekistan,Christopher Ways Park,Mountain,medium,June-Aug,"safari, trekking"
Maryland,Tajikistan,Smith Stravenue Temple,Adventure,luxury,Mar-May,"skiing, surfing, temple visit"
Louisiana,Cambodia,Veronica Forks Tower,Urban,high,June-Aug,"wildlife, relaxing, skiing, food"
New Hampshire,Panama,Price Track Tower,Urban,low,Jan-Mar,"shopping, food, wildlife, yoga"
Connecticut,Uzbekistan,Thomas Tunnel Bay,Beach,medium,June-Aug,"safari, technology, culture"
Iowa,Moldova,Young Row Bay,Historical,low,June-Aug,"culture, safari, relaxing, food"
Maine,Suriname,Bradshaw Skyway Beach,Cultural,high,Mar-May,"food, wildlife, skiing"
Uttarakhand,India,Rishikesh,Desert,medium,Mar-May,"technology, relaxing"
Idaho,Cambodia,Melissa Crest Tower,Historical,low,June-Aug,"surfing, shopping, relaxing"
Massachusetts,Colombia,Carlson Ranch Tower,Historical,medium,Sep-Nov,"relaxing, nightlife"
Karnataka,India,Hampi,Beach,low,Sep-Nov,"technology, culture, safari, shopping"
Kerala,India,Munnar Tea Gardens,Mountain,high,Dec-Feb,"shopping, culture, surfing, safari"
Alaska,Puerto Rico,Perez Isle Fort,Cultural,medium,Sep-Nov,"food, skiing, culture, relaxing"
Louisiana,Cook Islands,Cortez Gateway Bay,Historical,luxury,Mar-May,"skiing, nightlife"
West Bengal,India,Victoria Memorial,Mountain,low,Sep-Nov,"relaxing, shopping, trekking, yoga"
Montana,Paraguay,Jason Common Temple,Beach,medium,June-Aug,"culture, wildlife"
Illinois,Timor-Leste,Nicholas Trail Temple,Urban,low,Jan-Mar,"trekking, skiing, surfing, technology"
Virginia,Italy,Whitehead Overpass Temple,Urban,medium,Dec-Feb,"temple visit, skiing, culture, yoga"
Uttarakhand,India,Rishikesh,Beach,high,Jan-Mar,"surfing, temple visit, trekking"
Uttarakhand,India,Kedarnath,Beach,low,Jan-Mar,"technology, food"
Louisiana,Mexico,Molina Tunnel Temple,Beach,medium,Mar-May,"food, wildlife, surfing, technology"
Washington,Jersey,Stafford Manor Bay,Mountain,luxury,Mar-May,"yoga, wildlife, surfing"
Himachal Pradesh,India,Rohtang Pass,Urban,high,Mar-May,"nightlife, wildlife, yoga"
California,Eritrea,Jackson Motorway Beach,Beach,luxury,Sep-Nov,"culture, technology"
Himachal Pradesh,India,Rohtang Pass,Urban,high,Sep-Nov,"temple visit, trekking, relaxing, skiing"
Himachal Pradesh,India,Solang Valley,Desert,medium,Mar-May,"trekking, skiing, nightlife"
Goa,India,Dudhsagar Falls,Mountain,luxury,June-Aug,"surfing, relaxing, shopping, skiing"
Uttar Pradesh,India,Varanasi Ghats,Cultural,high,Jan-Mar,"relaxing, safari, wildlife"
Tamil Nadu,India,Meenakshi Temple,Adventure,medium,Jan-Mar,"surfing, shopping, trekking, yoga"
Oklahoma,Guatemala,Kline Road Tower,Desert,luxury,June-Aug,"culture, food, wildlife, technology"
Louisiana,Korea,Kelley Stravenue Fort,Urban,high,Sep-Nov,"shopping, surfing"
Kerala,India,Alleppey Backwaters,Urban,low,Mar-May,"yoga, food"
Missouri,Burkina Faso,Newton Walk Beach,Cultural,high,Mar-May,"trekking, skiing, culture"
Utah,Benin,Johnson Extension Bay,Cultural,low,Sep-Nov,"food, trekking, yoga"
Uttar Pradesh,India,Taj Mahal,Mountain,luxury,June-Aug,"shopping, trekking"
Arkansas,American Samoa,Joshua Place Fort,Beach,luxury,June-Aug,"shopping, yoga, skiing, food"
Kerala,India,Munnar Tea Gardens,Historical,low,Mar-May,"technology, skiing, trekking, nightlife"
Uttar Pradesh,India,Taj Mahal,Urban,medium,Mar-May,"culture, shopping, yoga, surfing"
Michigan,Guinea-Bissau,Perez Locks Park,Mountain,low,June-Aug,"technology, surfing, yoga"
Uttar Pradesh,India,Taj Mahal,Beach,medium,Sep-Nov,"shopping, yoga"
Himachal Pradesh,India,Solang Valley,Cultural,medium,Sep-Nov,"shopping, trekking, safari, culture"
Arkansas,Hungary,Flores Valley Temple,Mountain,high,Jan-Mar,"trekking, nightlife"
West Bengal,India,Sundarbans,Desert,luxury,Dec-Feb,"food, nightlife, technology, shopping"
Georgia,Malawi,Rodriguez Path Bay,Historical,low,Jan-Mar,"surfing, skiing, safari, relaxing"
New York,Bosnia and Herzegovina,David Coves Bay,Beach,medium,Dec-Feb,"food, culture"
Indiana,Eritrea,Mejia Greens Tower,Cultural,medium,Sep-Nov,"culture, shopping"
Virginia,Northern Mariana Islands,Walker Groves Beach,Desert,high,Dec-Feb,"technology, safari, shopping"
Illinois,Philippines,Troy Mountains Fort,Adventure,medium,Dec-Feb,"technology, relaxing, temple visit"
Maharashtra,India,Gateway of India,Mountain,luxury,June-Aug,"nightlife, technology"
Kerala,India,Alleppey Backwaters,Urban,high,June-Aug,"food, yoga, technology"
Himachal Pradesh,India,Solang Valley,Urban,medium,Mar-May,"technology, trekking"
Texas,French Southern Territories,Herman Springs Tower,Cultural,luxury,Dec-Feb,"shopping, relaxing, trekking, food"
Connecticut,Tokelau,Figueroa Square Bay,Historical,low,Sep-Nov,"food, relaxing"
Rhode Island,Mayotte,White Rapids Park,Cultural,medium,Sep-Nov,"skiing, food, shopping"
Kentucky,Austria,Ponce Spur Park,Mountain,luxury,Dec-Feb,"nightlife, technology, yoga, surfing"
Kentucky,Slovakia (Slovak Republic),Peters Court Temple,Cultural,medium,Sep-Nov,"food, temple visit, yoga, skiing"
Colorado,San Marino,Anderson Land Fort,Historical,medium,Sep-Nov,"shopping, safari"
New Mexico,Guatemala,Kimberly Inlet Beach,Mountain,medium,Sep-Nov,"yoga, wildlife, nightlife"
New Hampshire,Luxembourg,Browning Plains Temple,Historical,low,Mar-May,"shopping, culture, relaxing"
Maharashtra,India,Ajanta Caves,Historical,luxury,Dec-Feb,"shopping, temple visit, skiing, surfing"
Hawaii,Luxembourg,Betty Station Beach,Desert,low,Mar-May,"wildlife, temple visit, yoga"
Uttarakhand,India,Rishikesh,Historical,low,June-Aug,"nightlife, skiing, food, relaxing"
Alaska,Rwanda,Ramos Islands Tower,Beach,medium,Dec-Feb,"nightlife, food, surfing, shopping"
Oregon,Cambodia,Morris Mews Tower,Urban,high,Mar-May,"wildlife, nightlife, culture, shopping"
Kentucky,Belgium,Harris Crest Bay,Desert,medium,Dec-Feb,"temple visit, technology"
Alabama,Estonia,Wilson Ports Park,Urban,luxury,June-Aug,"nightlife, temple visit, wildlife, relaxing"
New York,Cameroon,Sean Grove Tower,Beach,low,Sep-Nov,"wildlife, relaxing, temple visit"
Wyoming,Solomon Islands,Mary Crest Tower,Mountain,high,Mar-May,"yoga, nightlife"
Tamil Nadu,India,Meenakshi Temple,Mountain,high,June-Aug,"temple visit, yoga"
Karnataka,India,Hampi,Cultural,medium,Mar-May,"skiing, wildlife, relaxing"
North Dakota,Maldives,Meyer Shore Beach,Adventure,medium,Dec-Feb,"surfing, shopping, temple visit, culture"
Delhi,India,Qutub Minar,Historical,high,Jan-Mar,"wildlife, yoga"
Kerala,India,Alleppey Backwaters,Historical,high,June-Aug,"trekking, temple visit"
Hawaii,Saint Martin,Gary Courts Park,Mountain,luxury,June-Aug,"nightlife, culture, food, relaxing"
Tamil Nadu,India,Meenakshi Temple,Adventure,medium,Dec-Feb,"relaxing, wildlife"
Massachusetts,Timor-Leste,Woods Passage Temple,Cultural,high,Jan-Mar,"shopping, wildlife, technology"
Vermont,Micronesia,Faulkner Ville Bay,Adventure,luxury,Mar-May,"skiing, wildlife, trekking, surfing"
South Dakota,Netherlands Antilles,Tanner Burg Tower,Beach,high,Jan-Mar,"safari, relaxing, surfing"
West Bengal,India,Sundarbans,Historical,low,Mar-May,"surfing, culture, relaxing"
Karnataka,India,Hampi,Mountain,luxury,Jan-Mar,"nightlife, shopping, temple visit, safari"
Pennsylvania,Azerbaijan,Austin Prairie Park,Cultural,medium,Sep-Nov,"shopping, nightlife, wildlife, safari"
Missouri,Puerto Rico,Scott Place Bay,Cultural,low,Dec-Feb,"nightlife, wildlife, technology, food"
Washington,Korea,Kathryn Springs Park,Adventure,medium,Sep-Nov,"skiing, wildlife, technology, temple visit"
Texas,British Indian Ocean Territory (Chagos Archipelago),Darrell Orchard Beach,Mountain,high,Sep-Nov,"relaxing, shopping, wildlife"
Wisconsin,Saint Pierre and Miquelon,Cory Lodge Fort,Mountain,low,Mar-May,"safari, surfing, food"
Illinois,Azerbaijan,Gomez Streets Park,Beach,luxury,Jan-Mar,"food, culture"
Kentucky,France,Young Trail Park,Adventure,high,Sep-Nov,"relaxing, safari, food"
Illinois,Norfolk Island,Byrd Islands Fort,Historical,luxury,Jan-Mar,"food, shopping, skiing, nightlife"
New Mexico,Algeria,Becker Lakes Temple,Cultural,luxury,Jan-Mar,"safari, trekking"
Nevada,Timor-Leste,Kyle Spur Fort,Beach,high,Mar-May,"temple visit, surfing, nightlife, wildlife"
Maryland,Peru,May Burg Fort,Mountain,medium,Dec-Feb,"food, temple visit, technology"
Louisiana,Fiji,Ritter Street Temple,Adventure,luxury,Mar-May,"wildlife, skiing, yoga, temple visit"
Nevada,British Indian Ocean Territory (Chagos Archipelago),Robertson Mountain Tower,Historical,low,Dec-Feb,"nightlife, temple visit, food"
Delhi,India,India Gate,Beach,medium,Mar-May,"wildlife, food, technology, culture"
Oklahoma,Equatorial Guinea,Sharon Underpass Beach,Urban,high,Jan-Mar,"technology, relaxing, surfing, yoga"
Uttar Pradesh,India,Taj Mahal,Mountain,high,Jan-Mar,"surfing, temple visit, wildlife"
Hawaii,Hungary,Marshall Fall Park,Urban,luxury,June-Aug,"trekking, safari, nightlife"
Rajasthan,India,Amber Fort,Historical,luxury,Sep-Nov,"surfing, wildlife"
New York,Albania,Barry Ford Bay,Historical,high,June-Aug,"wildlife, food, technology, trekking"
Washington,Gambia,Randall Path Temple,Urban,luxury,Dec-Feb,"yoga, trekking, safari, culture"
North Carolina,Puerto Rico,Katie Divide Temple,Adventure,medium,Mar-May,"food, safari"
Uttar Pradesh,India,Varanasi Ghats,Mountain,luxury,Jan-Mar,"wildlife, trekking"
Florida,Burkina Faso,Maria Views Beach,Mountain,high,Dec-Feb,"yoga, skiing, food"
Washington,Tajikistan,Miller Manors Beach,Urban,medium,June-Aug,"surfing, temple visit, food"
Pennsylvania,Antigua and Barbuda,Lauren Roads Fort,Desert,luxury,Sep-Nov,"safari, yoga"
Arkansas,Papua New Guinea,Crane Vista Fort,Desert,luxury,Sep-Nov,"temple visit, trekking"
